gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
acs,fis,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
acs,rpod,+,ecocyc_28,no,yes,wu_up
acs,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
acs,gcvb,-,ecocyc_28,yes,no,wu_up
acs,rpos,+,ecocyc_28,no,yes,wu_up
acs,ihfb,-,ecocyc_28,yes,no,wu_up
acs,rob,-,ecocyc_28,yes,no,wu_up
acs,ihfa,-,ecocyc_28,yes,no,wu_up
acs,crp,+,ecocyc_28_AND_regdb_13,yes,no,wu_up
acs,ihf,-,regdb_13,no,no,wu_up
alda,dnaa,-,ecocyc_28_AND_regdb_13,no,no,wu_up
alda,rob,+,ecocyc_28,yes,no,wu_up
alda,mara,+,ecocyc_28,yes,no,wu_up
alda,fnr,-,ecocyc_28,yes,no,wu_up
alda,rpod,+,ecocyc_28,no,yes,wu_up
alda,soxs,+,ecocyc_28,yes,no,wu_up
alda,arca,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
alda,crp,+,ecocyc_28,yes,no,wu_up
argb,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argb,rpod,+,ecocyc_28,no,yes,wu_up
argd,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argd,rpod,+,ecocyc_28,no,yes,wu_up
argd,phop,-,ecocyc_28,no,no,wu_up
arge,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
arge,rpod,+,ecocyc_28,no,yes,wu_up
argf,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argf,fur,+,ecocyc_28_AND_regdb_13,yes,no,wu_up
argf,rpod,+,ecocyc_28,no,yes,wu_up
argg,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argg,rpod,+,ecocyc_28,no,yes,wu_up
argg,crp,+,ecocyc_28_AND_regdb_13,yes,no,wu_up
argg,fur,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argh,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argh,rpod,+,ecocyc_28,no,yes,wu_up
argt,glng,+,ecocyc_28,yes,no,wu_up
argt,arca,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
argt,rpon,+,ecocyc_28,no,yes,wu_up
argt,lrp,+,ecocyc_28,yes,no,wu_up
argt,ntrc,+,regdb_13,no,no,wu_up
arog,tyrr,-,ecocyc_28_AND_regdb_13,no,no,wu_up
arog,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,wu_up
arog,rpod,+,ecocyc_28,no,yes,wu_up
arog,lrp,±,ecocyc_28,yes,no,wu_up
artj,argr,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
artj,rpod,+,ecocyc_28,no,yes,wu_up
asd,gcvb,-,ecocyc_28,yes,no,wu_up
asd,sgrs,-,ecocyc_28,no,no,wu_up
asd,argp,+,ecocyc_28_AND_regdb_13,no,no,wu_up
cysi,cysb,+,ecocyc_28,yes,no,wu_up
cysi,rpod,+,ecocyc_28,no,yes,wu_up
cysi,ihfa,+,ecocyc_28,yes,no,wu_up
cysi,ihfb,+,ecocyc_28,yes,no,wu_up
cysi,ihf,+,regdb_13,no,no,wu_up
cysj,rpod,+,ecocyc_28,no,yes,wu_up
cysj,ihfa,+,ecocyc_28,yes,no,wu_up
cysj,cysb,+,ecocyc_28,yes,no,wu_up
cysj,nac,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
cysj,ihfb,+,ecocyc_28,yes,no,wu_up
cysj,yafc,+,ecocyc_28,no,no,wu_up
cysj,yeie,-,ecocyc_28,no,no,wu_up
cysj,ihf,+,regdb_13,no,no,wu_up
cysk,cysb,+,ecocyc_28_AND_regdb_13,yes,no,wu_up
cysk,rpod,+,ecocyc_28,no,yes,wu_up
cysm,cysb,+,ecocyc_28_AND_regdb_13,yes,no,wu_up
cysm,rpod,+,ecocyc_28,no,yes,wu_up
cysm,hns,-,ecocyc_28,yes,no,wu_up
cysp,cysb,+,ecocyc_28_AND_regdb_13,yes,no,wu_up
cysp,rpod,+,ecocyc_28,no,yes,wu_up
cysp,hns,-,ecocyc_28,yes,no,wu_up
dppa,fnr,-,ecocyc_28,yes,no,wu_up
dppa,lrp,±,ecocyc_28,yes,no,wu_up
dppa,rpod,+,ecocyc_28,no,yes,wu_up
dppa,ihfa,+,ecocyc_28,yes,no,wu_up
dppa,arca,+,ecocyc_28_AND_regdb_13,yes,no,wu_up
dppa,gcvb,-,ecocyc_28,yes,no,wu_up
dppa,nac,-,ecocyc_28_AND_regdb_13,yes,no,wu_up
dppa,ihfb,+,ecocyc_28,yes,no,wu_up
