gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
accc,accb,-,ecocyc_28,no,no,rajacharya_downregulated
accc,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
accc,fadr,+,ecocyc_28_AND_regdb_13,no,no,rajacharya_downregulated
aceb,flhd,+,ecocyc_28,yes,no,rajacharya_downregulated
aceb,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
aceb,ihfa,+,ecocyc_28,yes,no,rajacharya_downregulated
aceb,lrp,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
aceb,nac,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
aceb,flhc,+,ecocyc_28,yes,no,rajacharya_downregulated
aceb,crp,-,ecocyc_28,yes,no,rajacharya_downregulated
aceb,iclr,-,ecocyc_28_AND_regdb_13,no,no,rajacharya_downregulated
aceb,cra,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
aceb,ihfb,+,ecocyc_28,yes,no,rajacharya_downregulated
aceb,arca,-,ecocyc_28,yes,no,rajacharya_downregulated
aceb,flhdc,+,regdb_13,no,no,rajacharya_downregulated
aceb,ihf,+,regdb_13,no,no,rajacharya_downregulated
acs,fis,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
acs,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
acs,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
acs,gcvb,-,ecocyc_28,yes,no,rajacharya_downregulated
acs,rpos,+,ecocyc_28,no,yes,rajacharya_downregulated
acs,ihfb,-,ecocyc_28,yes,no,rajacharya_downregulated
acs,rob,-,ecocyc_28,yes,no,rajacharya_downregulated
acs,ihfa,-,ecocyc_28,yes,no,rajacharya_downregulated
acs,crp,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
acs,ihf,-,regdb_13,no,no,rajacharya_downregulated
amya,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
argh,argr,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
argh,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
arof,tyrr,-,ecocyc_28_AND_regdb_13,no,no,rajacharya_downregulated
arof,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
arof,nac,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
arof,soxr,+,ecocyc_28_AND_regdb_13,no,no,rajacharya_downregulated
asnb,lrp,+,ecocyc_28,yes,no,rajacharya_downregulated
asnb,gcvb,-,ecocyc_28,yes,no,rajacharya_downregulated
asnb,gadx,+,ecocyc_28,yes,no,rajacharya_downregulated
aspc,fnr,±,ecocyc_28,yes,no,rajacharya_downregulated
aspc,lrp,+,ecocyc_28,yes,no,rajacharya_downregulated
aspc,fur,-,ecocyc_28,yes,no,rajacharya_downregulated
asps,lrp,-,ecocyc_28,yes,no,rajacharya_downregulated
astc,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
astc,lrp,±,ecocyc_28,yes,no,rajacharya_downregulated
astc,cpxr,-,ecocyc_28,yes,no,rajacharya_downregulated
astc,glng,+,ecocyc_28,yes,no,rajacharya_downregulated
astc,rpos,+,ecocyc_28,no,yes,rajacharya_downregulated
astc,rob,-,ecocyc_28,yes,no,rajacharya_downregulated
astc,argr,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
astc,rpon,+,ecocyc_28,no,yes,rajacharya_downregulated
astc,ntrc,+,regdb_13,no,no,rajacharya_downregulated
atpd,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
bama,rpoe,+,ecocyc_28,no,yes,rajacharya_downregulated
cara,ihfa,±,ecocyc_28,yes,no,rajacharya_downregulated
cara,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
cara,arca,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
cara,fis,+,ecocyc_28,yes,no,rajacharya_downregulated
cara,rutr,+,ecocyc_28_AND_regdb_13,no,no,rajacharya_downregulated
cara,argr,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
cara,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
cara,ihfb,±,ecocyc_28,yes,no,rajacharya_downregulated
cara,purr,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
cara,pepa,-,ecocyc_28_AND_regdb_13,no,no,rajacharya_downregulated
cara,ihf,±,regdb_13,no,no,rajacharya_downregulated
ceda,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
chew,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
chew,flia,+,ecocyc_28,no,yes,rajacharya_downregulated
clpp,lrp,+,ecocyc_28,yes,no,rajacharya_downregulated
clpp,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
clpp,rpoh,+,ecocyc_28,no,yes,rajacharya_downregulated
coad,rpod,+,ecocyc_28,no,yes,rajacharya_downregulated
coda,nac,+,ecocyc_28_AND_regdb_13,yes,no,rajacharya_downregulated
