gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
mgla,fis,-,ecocyc_28,yes,no,deter_down
mgla,rpod,+,ecocyc_28,no,yes,deter_down
mgla,flhc,-,ecocyc_28,yes,no,deter_down
mgla,rpos,+,ecocyc_28,no,yes,deter_down
mgla,galr,-,ecocyc_28,no,no,deter_down
mgla,glar,-,ecocyc_28_AND_regdb_13,yes,no,deter_down
mgla,nac,-,ecocyc_28_AND_regdb_13,yes,no,deter_down
mgla,gals,-,ecocyc_28,no,no,deter_down
mgla,flhd,-,ecocyc_28,yes,no,deter_down
mgla,crp,+,ecocyc_28_AND_regdb_13,yes,no,deter_down
mglb,fur,+,ecocyc_28,yes,no,deter_down
mglb,rpod,+,ecocyc_28,no,yes,deter_down
mglb,flhc,-,ecocyc_28,yes,no,deter_down
mglb,rpos,+,ecocyc_28,no,yes,deter_down
mglb,galr,-,ecocyc_28,no,no,deter_down
mglb,nac,-,ecocyc_28_AND_regdb_13,yes,no,deter_down
mglb,gals,-,ecocyc_28,no,no,deter_down
mglb,flhd,-,ecocyc_28,yes,no,deter_down
mglb,crp,+,ecocyc_28_AND_regdb_13,yes,no,deter_down
tnaa,rpod,+,ecocyc_28,no,yes,deter_down
tnaa,torr,+,ecocyc_28_AND_regdb_13,no,no,deter_down
tnaa,nac,-,ecocyc_28_AND_regdb_13,yes,no,deter_down
tnaa,rpld,-,ecocyc_28_AND_regdb_13,no,no,deter_down
tnaa,crp,+,ecocyc_28_AND_regdb_13,yes,no,deter_down
tnaa,zrar,+,ecocyc_28,no,no,deter_down
tnac,nac,+,ecocyc_28_AND_regdb_13,yes,no,deter_down
tnac,rpod,+,ecocyc_28,no,yes,deter_down
tnac,crp,+,ecocyc_28_AND_regdb_13,yes,no,deter_down
tnac,torr,+,ecocyc_28_AND_regdb_13,no,no,deter_down
ybcw,pdhr,+,ecocyc_28_AND_regdb_13,yes,no,deter_down
