gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
aste,rpod,+,ecocyc_28,no,yes,vazulka_down
aste,rpos,+,ecocyc_28,no,yes,vazulka_down
aste,glng,+,ecocyc_28,yes,no,vazulka_down
aste,argr,+,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
aste,rpon,+,ecocyc_28,no,yes,vazulka_down
aste,ntrc,+,regdb_13,no,no,vazulka_down
cfa,rpod,+,ecocyc_28,no,yes,vazulka_down
cfa,rydc,+,ecocyc_28_AND_regdb_13,no,no,vazulka_down
cfa,cpxq,-,ecocyc_28_AND_regdb_13,no,no,vazulka_down
cfa,rpos,+,ecocyc_28,no,yes,vazulka_down
cfa,arrs,+,ecocyc_28_AND_regdb_13,no,no,vazulka_down
cfa,nac,-,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
efeo,fur,-,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
fbab,rpos,+,ecocyc_28,no,yes,vazulka_down
fbab,cra,-,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
gcd,crp,-,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
gcd,ihfb,+,ecocyc_28,yes,no,vazulka_down
gcd,rpod,+,ecocyc_28,no,yes,vazulka_down
gcd,ihfa,+,ecocyc_28,yes,no,vazulka_down
gcd,ihf,+,regdb_13,no,no,vazulka_down
glms,rpod,+,ecocyc_28,no,yes,vazulka_down
glms,glmz,+,ecocyc_28,no,no,vazulka_down
glms,nagc,±,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
glmu,rpod,+,ecocyc_28,no,yes,vazulka_down
glmu,nagc,±,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
grxb,rpod,+,ecocyc_28,no,yes,vazulka_down
grxb,fur,-,ecocyc_28,yes,no,vazulka_down
stpa,rpod,+,ecocyc_28,no,yes,vazulka_down
stpa,lrp,+,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
stpa,stpa,-,ecocyc_28,no,no,vazulka_down
stpa,argr,-,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
stpa,hns,-,ecocyc_28,yes,no,vazulka_down
stpa,h-ns,-,regdb_13,no,no,vazulka_down
ugpa,rpod,+,ecocyc_28,no,yes,vazulka_down
ugpa,crp,+,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
ugpa,phob,±,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
ugpa,fur,-,ecocyc_28,yes,no,vazulka_down
ugpc,rpod,+,ecocyc_28,no,yes,vazulka_down
ugpc,crp,+,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
ugpc,phob,±,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
ugpe,rpod,+,ecocyc_28,no,yes,vazulka_down
ugpe,crp,+,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
ugpe,phob,±,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
ugpe,fur,-,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
ugpq,rpod,+,ecocyc_28,no,yes,vazulka_down
ugpq,crp,+,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
ugpq,phob,±,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
ydcv,nac,+,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
ydcv,rpos,+,ecocyc_28,no,yes,vazulka_down
yfey,rpoe,+,ecocyc_28,no,yes,vazulka_down
yfgd,rpoe,+,ecocyc_28,no,yes,vazulka_down
yobf,cyar,-,ecocyc_28_AND_regdb_13,no,no,vazulka_down
yobf,rpod,+,ecocyc_28,no,yes,vazulka_down
yobf,rpon,-,ecocyc_28_AND_regdb_13,no,yes,vazulka_down
yobf,btsr,-,ecocyc_28_AND_regdb_13,no,no,vazulka_down
yobf,nac,+,ecocyc_28_AND_regdb_13,yes,no,vazulka_down
ytft,arac,-,ecocyc_28_AND_regdb_13,no,no,vazulka_down
