gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
alx,ompr,-,ecocyc_28_AND_regdb_13,yes,no,vazulka_up
amph,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,vazulka_up
bord,phop,+,ecocyc_28_AND_regdb_13,no,no,vazulka_up
bord,lrp,+,ecocyc_28,yes,no,vazulka_up
bord,nac,-,ecocyc_28_AND_regdb_13,yes,no,vazulka_up
chaa,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,vazulka_up
chaa,glar,-,ecocyc_28_AND_regdb_13,yes,no,vazulka_up
clpb,rpoh,+,ecocyc_28,no,yes,vazulka_up
clpb,rpod,+,ecocyc_28,no,yes,vazulka_up
cynx,cynr,+,ecocyc_28_AND_regdb_13,no,no,vazulka_up
cynx,rpod,+,ecocyc_28,no,yes,vazulka_up
dacc,argr,-,ecocyc_28_AND_regdb_13,yes,no,vazulka_up
dacc,rpod,+,ecocyc_28,no,yes,vazulka_up
dacc,bola,±,ecocyc_28,no,no,vazulka_up
flgb,flhd,+,ecocyc_28,yes,no,vazulka_up
flgb,rpod,+,ecocyc_28,no,yes,vazulka_up
flgb,flhc,+,ecocyc_28,yes,no,vazulka_up
flgb,flhdc,+,regdb_13,no,no,vazulka_up
fxsa,rpoh,+,ecocyc_28,no,yes,vazulka_up
fxsa,lrp,±,ecocyc_28,yes,no,vazulka_up
heml,phop,+,ecocyc_28_AND_regdb_13,no,no,vazulka_up
heml,pdhr,-,ecocyc_28,yes,no,vazulka_up
heml,flia,+,ecocyc_28,no,yes,vazulka_up
hslu,rpoh,+,ecocyc_28,no,yes,vazulka_up
hslv,rpoh,+,ecocyc_28,no,yes,vazulka_up
htpx,rpoh,+,ecocyc_28,no,yes,vazulka_up
htpx,nac,-,ecocyc_28_AND_regdb_13,yes,no,vazulka_up
htpx,ompr,-,ecocyc_28_AND_regdb_13,yes,no,vazulka_up
ibpb,ihfa,+,ecocyc_28,yes,no,vazulka_up
ibpb,lrp,+,ecocyc_28,yes,no,vazulka_up
ibpb,rpon,+,ecocyc_28,no,yes,vazulka_up
ibpb,ihfb,+,ecocyc_28,yes,no,vazulka_up
