gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
aaea,aaer,+,ecocyc_28,no,no,houser_up
aaea,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
aaeb,aaer,+,ecocyc_28,no,no,houser_up
aaeb,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
aaer,crp,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
acrf,rpod,+,ecocyc_28,no,yes,houser_up
acrf,hns,-,ecocyc_28,yes,no,houser_up
acrf,fnr,+,ecocyc_28,yes,no,houser_up
adia,rpod,+,ecocyc_28,no,yes,houser_up
adia,ihfa,+,ecocyc_28,yes,no,houser_up
adia,torr,+,ecocyc_28,no,no,houser_up
adia,ihfb,+,ecocyc_28,yes,no,houser_up
adia,adiy,+,ecocyc_28_AND_regdb_13,no,no,houser_up
adia,ydeo,-,ecocyc_28,no,no,houser_up
adia,hns,-,ecocyc_28,yes,no,houser_up
adia,ihf,+,regdb_13,no,no,houser_up
aer,fnr,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
aer,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
aer,lrp,-,ecocyc_28,yes,no,houser_up
aer,flia,+,ecocyc_28,no,yes,houser_up
agar,rpod,+,ecocyc_28,no,yes,houser_up
agar,agar,-,ecocyc_28_AND_regdb_13,no,no,houser_up
agp,crp,+,ecocyc_28,yes,no,houser_up
agp,phob,-,ecocyc_28,yes,no,houser_up
alla,allr,-,ecocyc_28_AND_regdb_13,no,no,houser_up
allr,nac,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
alls,allr,-,ecocyc_28_AND_regdb_13,no,no,houser_up
araa,rpod,+,ecocyc_28,no,yes,houser_up
araa,arac,±,ecocyc_28_AND_regdb_13,no,no,houser_up
araa,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
arab,fur,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
arab,rpod,+,ecocyc_28,no,yes,houser_up
arab,arac,±,ecocyc_28_AND_regdb_13,no,no,houser_up
arab,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
arac,xylr,-,ecocyc_28_AND_regdb_13,no,no,houser_up
arac,rpod,+,ecocyc_28,no,yes,houser_up
arac,arac,±,ecocyc_28_AND_regdb_13,no,no,houser_up
arac,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
argo,rpod,+,ecocyc_28,no,yes,houser_up
argo,argp,+,ecocyc_28_AND_regdb_13,no,no,houser_up
argo,lrp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
argo,nac,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
argo,yeie,-,ecocyc_28,no,no,houser_up
arna,basr,+,ecocyc_28_AND_regdb_13,no,no,houser_up
ascf,ascg,-,ecocyc_28_AND_regdb_13,no,no,houser_up
ascf,spf,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
ascf,rpod,+,ecocyc_28,no,yes,houser_up
ascf,cpxr,-,ecocyc_28,yes,no,houser_up
ascf,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
ascf,hns,-,ecocyc_28,yes,no,houser_up
baer,rpos,+,ecocyc_28,no,yes,houser_up
baer,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
baer,baer,+,ecocyc_28_AND_regdb_13,no,no,houser_up
beti,beti,-,ecocyc_28_AND_regdb_13,no,no,houser_up
beti,arca,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
beti,rpod,+,ecocyc_28,no,yes,houser_up
beti,cra,+,ecocyc_28,yes,no,houser_up
bfr,nac,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
bfr,fur,+,ecocyc_28,yes,no,houser_up
bfr,ryhb,-,ecocyc_28,yes,no,houser_up
caib,rpod,+,ecocyc_28,no,yes,houser_up
caib,arca,+,ecocyc_28,yes,no,houser_up
caib,fnr,+,ecocyc_28,yes,no,houser_up
caib,caif,+,ecocyc_28_AND_regdb_13,no,no,houser_up
caib,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
caib,hns,-,ecocyc_28,yes,no,houser_up
cbpm,fis,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
cbpm,rpos,+,ecocyc_28,no,yes,houser_up
cbpm,rpod,+,ecocyc_28,no,yes,houser_up
chia,rpod,+,ecocyc_28,no,yes,houser_up
chia,hns,-,ecocyc_28,yes,no,houser_up
chia,h-ns,-,regdb_13,no,no,houser_up
clps,lrp,+,ecocyc_28,yes,no,houser_up
clps,phop,-,ecocyc_28_AND_regdb_13,no,no,houser_up
cobu,rpod,+,ecocyc_28,no,yes,houser_up
cobu,nac,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
csga,rpod,+,ecocyc_28,no,yes,houser_up
csga,fliz,-,ecocyc_28,no,no,houser_up
csga,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
csga,rpos,+,ecocyc_28,no,yes,houser_up
csga,btsr,-,ecocyc_28_AND_regdb_13,no,no,houser_up
csga,bola,+,ecocyc_28,no,no,houser_up
csga,csgd,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
csra,rpos,+,ecocyc_28,no,yes,houser_up
csra,dksa,+,ecocyc_28,yes,no,houser_up
csra,rpod,+,ecocyc_28,no,yes,houser_up
cyda,rpod,+,ecocyc_28,no,yes,houser_up
cyda,arca,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
cyda,fnr,±,ecocyc_28_AND_regdb_13,yes,no,houser_up
cyda,hypt,+,ecocyc_28_AND_regdb_13,no,no,houser_up
cyda,cra,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
cyda,nac,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
cyda,hns,-,ecocyc_28,yes,no,houser_up
cyda,h-ns,-,regdb_13,no,no,houser_up
dhar,nac,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
dhar,dhar,-,ecocyc_28,no,no,houser_up
dhar,rpos,+,ecocyc_28,no,yes,houser_up
dkgb,rpos,+,ecocyc_28,no,yes,houser_up
dkgb,nsrr,-,ecocyc_28,yes,no,houser_up
dmsc,fis,-,ecocyc_28,yes,no,houser_up
dmsc,fur,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
dmsc,rpod,+,ecocyc_28,no,yes,houser_up
dmsc,mode,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
dmsc,ihfb,-,ecocyc_28,yes,no,houser_up
dmsc,fnr,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
dmsc,narl,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
dmsc,ihfa,-,ecocyc_28,yes,no,houser_up
dmsc,ihf,-,regdb_13,no,no,houser_up
dnag,lexa,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
dnag,dksa,-,ecocyc_28,yes,no,houser_up
dnag,rpod,+,ecocyc_28,no,yes,houser_up
dsdx,dsdc,+,ecocyc_28,no,no,houser_up
dsdx,crp,+,ecocyc_28,yes,no,houser_up
dsdx,rpod,+,ecocyc_28,no,yes,houser_up
efeu,cpxr,-,regdb_13,yes,no,houser_up
erpa,ryhb,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
erpa,iscr,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
erpa,fur,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
exut,dpia,+,ecocyc_28_AND_regdb_13,no,no,houser_up
exut,exur,-,ecocyc_28_AND_regdb_13,no,no,houser_up
exut,crp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
exut,nac,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
fada,rpod,+,ecocyc_28,no,yes,houser_up
fada,fis,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
fada,rob,-,ecocyc_28,yes,no,houser_up
fada,fadr,-,ecocyc_28,no,no,houser_up
fada,arca,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
feab,rpod,+,ecocyc_28,no,yes,houser_up
feab,nsrr,-,ecocyc_28,yes,no,houser_up
feab,nac,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
feab,fear,+,ecocyc_28_AND_regdb_13,no,no,houser_up
feab,crp,+,ecocyc_28,yes,no,houser_up
feci,slya,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
feci,rpod,+,ecocyc_28,no,yes,houser_up
feci,fur,-,ecocyc_28_AND_regdb_13,yes,no,houser_up
fhla,nsrr,-,ecocyc_28,yes,no,houser_up
fhla,ihfa,+,ecocyc_28,yes,no,houser_up
fhla,oxys,-,ecocyc_28,no,no,houser_up
fhla,fnr,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
fhla,rpon,+,ecocyc_28,no,yes,houser_up
fhla,ihfb,+,ecocyc_28,yes,no,houser_up
fhla,fhla,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
fhla,ihf,+,regdb_13,no,no,houser_up
fima,rpod,+,ecocyc_28,no,yes,houser_up
fima,ihfa,+,ecocyc_28,yes,no,houser_up
fima,hns,+,ecocyc_28,yes,no,houser_up
fima,lrp,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
fima,fis,+,ecocyc_28_AND_regdb_13,yes,no,houser_up
fima,ihfb,+,ecocyc_28,yes,no,houser_up
fima,qseb,+,ecocyc_28,no,no,houser_up
fima,h-ns,+,regdb_13,no,no,houser_up
fumb,fis,-,ecocyc_28,yes,no,houser_up
fumb,fur,+,ecocyc_28,yes,no,houser_up
fumb,rpod,+,ecocyc_28,no,yes,houser_up
fumb,arca,+,ecocyc_28,yes,no,houser_up
fumb,fnr,+,ecocyc_28,yes,no,houser_up
fumb,narl,-,ecocyc_28,yes,no,houser_up
fumb,dcur,+,ecocyc_28_AND_regdb_13,no,no,houser_up
fumb,crp,+,ecocyc_28,yes,no,houser_up
gada,fis,-,ecocyc_28,yes,no,houser_up
gada,rcsb,±,ecocyc_28_AND_regdb_13,yes,no,houser_up
gada,torr,±,ecocyc_28,no,no,houser_up
gada,fnr,-,ecocyc_28,yes,no,houser_up
gada,rpod,+,ecocyc_28,no,yes,houser_up
gada,arca,+,ecocyc_28,yes,no,houser_up
gada,gade,+,ecocyc_28,yes,no,houser_up
gada,gadw,±,ecocyc_28_AND_regdb_13,no,no,houser_up
