gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
arag,arac,+,ecocyc_28_AND_regdb_13,no,no,radzikowski_down
arag,rpos,+,ecocyc_28,no,yes,radzikowski_down
arag,rpod,+,ecocyc_28,no,yes,radzikowski_down
arag,crp,+,ecocyc_28_AND_regdb_13,yes,no,radzikowski_down
bhsa,crp,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_down
bhsa,rpod,+,ecocyc_28,no,yes,radzikowski_down
bhsa,rpoe,+,ecocyc_28,no,yes,radzikowski_down
bhsa,comr,-,ecocyc_28_AND_regdb_13,no,no,radzikowski_down
cfa,rpod,+,ecocyc_28,no,yes,radzikowski_down
cfa,rydc,+,ecocyc_28_AND_regdb_13,no,no,radzikowski_down
cfa,cpxq,-,ecocyc_28_AND_regdb_13,no,no,radzikowski_down
cfa,rpos,+,ecocyc_28,no,yes,radzikowski_down
cfa,arrs,+,ecocyc_28_AND_regdb_13,no,no,radzikowski_down
cfa,nac,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_down
dead,rpod,+,ecocyc_28,no,yes,radzikowski_down
dead,lrp,-,ecocyc_28,yes,no,radzikowski_down
epta,basr,+,ecocyc_28_AND_regdb_13,no,no,radzikowski_down
epta,nac,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_down
fimc,rpod,+,ecocyc_28,no,yes,radzikowski_down
fimc,ihfa,+,ecocyc_28,yes,no,radzikowski_down
fimc,hns,+,ecocyc_28,yes,no,radzikowski_down
fimc,lrp,+,ecocyc_28_AND_regdb_13,yes,no,radzikowski_down
fimc,fis,+,ecocyc_28_AND_regdb_13,yes,no,radzikowski_down
fimc,ihfb,+,ecocyc_28,yes,no,radzikowski_down
fimc,qseb,+,ecocyc_28,no,no,radzikowski_down
fimc,h-ns,+,regdb_13,no,no,radzikowski_down
flic,motr,+,ecocyc_28,no,no,radzikowski_down
flic,uxur,-,ecocyc_28,no,no,radzikowski_down
flic,flia,+,ecocyc_28,no,yes,radzikowski_down
flic,gade,+,ecocyc_28,yes,no,radzikowski_down
flic,hns,+,ecocyc_28,yes,no,radzikowski_down
flic,nac,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_down
flic,flix,-,ecocyc_28,no,no,radzikowski_down
flic,uhpu,+,ecocyc_28,no,no,radzikowski_down
flic,mata,-,ecocyc_28_AND_regdb_13,no,no,radzikowski_down
glsa,rpos,+,ecocyc_28,no,yes,radzikowski_down
glsa,cpxr,-,ecocyc_28,yes,no,radzikowski_down
glsa,gadx,+,ecocyc_28_AND_regdb_13,yes,no,radzikowski_down
puub,rpos,+,ecocyc_28,no,yes,radzikowski_down
puub,crp,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_down
puub,fimz,+,ecocyc_28,no,no,radzikowski_down
puub,argr,+,ecocyc_28_AND_regdb_13,yes,no,radzikowski_down
puub,arca,-,ecocyc_28,yes,no,radzikowski_down
puub,ptrr,-,ecocyc_28,no,no,radzikowski_down
puub,puur,-,ecocyc_28_AND_regdb_13,no,no,radzikowski_down
ubic,fnr,-,ecocyc_28,yes,no,radzikowski_down
ubic,rpod,+,ecocyc_28,no,yes,radzikowski_down
ubic,ihfb,-,ecocyc_28,yes,no,radzikowski_down
ubic,narl,-,ecocyc_28,yes,no,radzikowski_down
ubic,ihfa,-,ecocyc_28,yes,no,radzikowski_down
ubic,arca,-,ecocyc_28,yes,no,radzikowski_down
ybjx,lrp,+,ecocyc_28,yes,no,radzikowski_down
ybjx,nac,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_down
