gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
accd,accd,-,ecocyc_28,no,no,lu_down
accd,acca,-,ecocyc_28,no,no,lu_down
accd,rpod,+,ecocyc_28,no,yes,lu_down
accd,fadr,+,ecocyc_28_AND_regdb_13,no,no,lu_down
acnb,fis,-,ecocyc_28,yes,no,lu_down
acnb,rpod,+,ecocyc_28,no,yes,lu_down
acnb,ryhb,-,ecocyc_28,yes,no,lu_down
acnb,acnb,+,ecocyc_28,no,no,lu_down
acnb,cra,±,ecocyc_28,yes,no,lu_down
acnb,arca,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
acnb,crp,+,ecocyc_28,yes,no,lu_down
acps,rpod,+,ecocyc_28,no,yes,lu_down
amn,phob,+,ecocyc_28,yes,no,lu_down
amn,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
aroa,crp,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
aroa,rpod,+,ecocyc_28,no,yes,lu_down
aroa,lrp,±,ecocyc_28_AND_regdb_13,yes,no,lu_down
arob,glar,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
arob,rpod,+,ecocyc_28,no,yes,lu_down
arod,rpod,+,ecocyc_28,no,yes,lu_down
arod,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
arog,tyrr,-,ecocyc_28_AND_regdb_13,no,no,lu_down
arog,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
arog,rpod,+,ecocyc_28,no,yes,lu_down
arog,lrp,±,ecocyc_28,yes,no,lu_down
aroh,rpod,+,ecocyc_28,no,yes,lu_down
aroh,trpr,-,ecocyc_28_AND_regdb_13,no,no,lu_down
arok,argr,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
arok,rpod,+,ecocyc_28,no,yes,lu_down
asd,gcvb,-,ecocyc_28,yes,no,lu_down
asd,sgrs,-,ecocyc_28,no,no,lu_down
asd,argp,+,ecocyc_28_AND_regdb_13,no,no,lu_down
aspc,fnr,±,ecocyc_28,yes,no,lu_down
aspc,lrp,+,ecocyc_28,yes,no,lu_down
aspc,fur,-,ecocyc_28,yes,no,lu_down
atpb,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
atpb,rpod,+,ecocyc_28,no,yes,lu_down
atpe,rpod,+,ecocyc_28,no,yes,lu_down
atpf,rpod,+,ecocyc_28,no,yes,lu_down
atph,rpod,+,ecocyc_28,no,yes,lu_down
atph,lrp,-,ecocyc_28,yes,no,lu_down
bcp,rpod,+,ecocyc_28,no,yes,lu_down
cbl,rpod,+,ecocyc_28,no,yes,lu_down
cbl,cpxr,-,ecocyc_28,yes,no,lu_down
cbl,cysb,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cbl,glng,+,ecocyc_28,yes,no,lu_down
cbl,lrp,+,ecocyc_28,yes,no,lu_down
cobt,rpod,+,ecocyc_28,no,yes,lu_down
cobt,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
cspb,rpod,+,ecocyc_28,no,yes,lu_down
cspb,zrar,+,ecocyc_28_AND_regdb_13,no,no,lu_down
cspc,btsr,-,ecocyc_28_AND_regdb_13,no,no,lu_down
cspc,rpod,+,ecocyc_28,no,yes,lu_down
cspc,rpon,-,ecocyc_28,no,yes,lu_down
cspe,rpod,+,ecocyc_28,no,yes,lu_down
cspe,dinj,-,ecocyc_28,no,no,lu_down
cspe,ydip,+,ecocyc_28,no,no,lu_down
cspe,yafq,-,ecocyc_28,no,no,lu_down
cspe,crp,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cspe,dinj-yafq,-,regdb_13,no,no,lu_down
cspi,basr,+,ecocyc_28_AND_regdb_13,no,no,lu_down
cspi,fis,-,ecocyc_28,yes,no,lu_down
cvpa,argr,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
cvpa,purr,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
cvpa,rpod,+,ecocyc_28,no,yes,lu_down
cyoe,fnr,-,ecocyc_28,yes,no,lu_down
cyoe,rpod,+,ecocyc_28,no,yes,lu_down
cyoe,gade,+,ecocyc_28,yes,no,lu_down
cyoe,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
cyoe,fis,+,ecocyc_28,yes,no,lu_down
cyoe,cra,±,ecocyc_28,yes,no,lu_down
cyoe,fur,-,ecocyc_28,yes,no,lu_down
cyoe,hprr,-,ecocyc_28,no,no,lu_down
cyoe,arca,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
cyoe,crp,+,ecocyc_28,yes,no,lu_down
cyoe,cusr,+,ecocyc_28,no,no,lu_down
cysa,cysb,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cysa,rpod,+,ecocyc_28,no,yes,lu_down
cysa,hns,-,ecocyc_28,yes,no,lu_down
cysb,lrp,-,ecocyc_28,yes,no,lu_down
cysb,phop,+,ecocyc_28,no,no,lu_down
cysb,rpod,+,ecocyc_28,no,yes,lu_down
cysb,cysb,-,ecocyc_28,yes,no,lu_down
cysc,cysb,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cysc,rpod,+,ecocyc_28,no,yes,lu_down
cysd,cysb,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cysd,rpod,+,ecocyc_28,no,yes,lu_down
cysh,rpod,+,ecocyc_28,no,yes,lu_down
cysh,ihfa,+,ecocyc_28,yes,no,lu_down
cysh,cysb,+,ecocyc_28,yes,no,lu_down
cysh,hypt,+,ecocyc_28,no,no,lu_down
cysh,ihfb,+,ecocyc_28,yes,no,lu_down
cysh,ihf,+,regdb_13,no,no,lu_down
cysi,cysb,+,ecocyc_28,yes,no,lu_down
cysi,rpod,+,ecocyc_28,no,yes,lu_down
cysi,ihfa,+,ecocyc_28,yes,no,lu_down
cysi,ihfb,+,ecocyc_28,yes,no,lu_down
cysi,ihf,+,regdb_13,no,no,lu_down
cysj,rpod,+,ecocyc_28,no,yes,lu_down
cysj,ihfa,+,ecocyc_28,yes,no,lu_down
cysj,cysb,+,ecocyc_28,yes,no,lu_down
cysj,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
cysj,ihfb,+,ecocyc_28,yes,no,lu_down
cysj,yafc,+,ecocyc_28,no,no,lu_down
cysj,yeie,-,ecocyc_28,no,no,lu_down
cysj,ihf,+,regdb_13,no,no,lu_down
cysm,cysb,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cysm,rpod,+,ecocyc_28,no,yes,lu_down
cysm,hns,-,ecocyc_28,yes,no,lu_down
cysn,cysb,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cysn,rpod,+,ecocyc_28,no,yes,lu_down
cysn,glar,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cysu,cysb,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cysu,rpod,+,ecocyc_28,no,yes,lu_down
cysu,hns,-,ecocyc_28,yes,no,lu_down
cysw,cysb,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
cysw,rpod,+,ecocyc_28,no,yes,lu_down
cysw,hns,-,ecocyc_28,yes,no,lu_down
dada,nac,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
dada,rpod,+,ecocyc_28,no,yes,lu_down
dada,lrp,±,ecocyc_28,yes,no,lu_down
dada,crp,±,ecocyc_28_AND_regdb_13,yes,no,lu_down
dadx,rpod,+,ecocyc_28,no,yes,lu_down
dadx,lrp,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
dadx,crp,±,ecocyc_28_AND_regdb_13,yes,no,lu_down
damx,rpod,+,ecocyc_28,no,yes,lu_down
dld,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
dosc,hns,-,ecocyc_28,yes,no,lu_down
dppa,fnr,-,ecocyc_28,yes,no,lu_down
dppa,lrp,±,ecocyc_28,yes,no,lu_down
dppa,rpod,+,ecocyc_28,no,yes,lu_down
dppa,ihfa,+,ecocyc_28,yes,no,lu_down
dppa,arca,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
dppa,gcvb,-,ecocyc_28,yes,no,lu_down
dppa,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
dppa,ihfb,+,ecocyc_28,yes,no,lu_down
dppb,fur,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
dppb,fnr,-,ecocyc_28,yes,no,lu_down
dppb,rpod,+,ecocyc_28,no,yes,lu_down
dppb,ihfa,+,ecocyc_28,yes,no,lu_down
dppb,gcvb,-,ecocyc_28,yes,no,lu_down
dppb,spf,+,ecocyc_28,yes,no,lu_down
dppb,ihfb,+,ecocyc_28,yes,no,lu_down
dppc,fur,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
dppc,fnr,-,ecocyc_28,yes,no,lu_down
dppc,rpod,+,ecocyc_28,no,yes,lu_down
dppc,ihfa,+,ecocyc_28,yes,no,lu_down
dppc,gcvb,-,ecocyc_28,yes,no,lu_down
dppc,ihfb,+,ecocyc_28,yes,no,lu_down
dppd,fur,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
dppd,fnr,-,ecocyc_28,yes,no,lu_down
dppd,rpod,+,ecocyc_28,no,yes,lu_down
dppd,ihfa,+,ecocyc_28,yes,no,lu_down
dppd,gcvb,-,ecocyc_28,yes,no,lu_down
dppd,ihfb,+,ecocyc_28,yes,no,lu_down
dppf,fur,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
dppf,fnr,-,ecocyc_28,yes,no,lu_down
dppf,rpod,+,ecocyc_28,no,yes,lu_down
dppf,ihfa,+,ecocyc_28,yes,no,lu_down
dppf,gcvb,-,ecocyc_28,yes,no,lu_down
dppf,ihfb,+,ecocyc_28,yes,no,lu_down
fabb,rpod,+,ecocyc_28,no,yes,lu_down
fabb,fabr,-,ecocyc_28_AND_regdb_13,no,no,lu_down
fabb,fadr,+,ecocyc_28_AND_regdb_13,no,no,lu_down
fhuf,oxyr,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
fhuf,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
fhuf,fur,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
fhuf,rpod,+,ecocyc_28,no,yes,lu_down
fkpb,rpoh,+,ecocyc_28,no,yes,lu_down
fkpb,rpod,+,ecocyc_28,no,yes,lu_down
fole,rpod,+,ecocyc_28,no,yes,lu_down
fole,sgrs,-,ecocyc_28_AND_regdb_13,no,no,lu_down
fole,metj,-,ecocyc_28_AND_regdb_13,no,no,lu_down
fole,fnrs,-,ecocyc_28,no,no,lu_down
fole,arca,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
frr,rpod,+,ecocyc_28,no,yes,lu_down
ftsl,mraz,-,ecocyc_28_AND_regdb_13,no,no,lu_down
ftsl,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
ftsl,lexa,-,ecocyc_28,yes,no,lu_down
ftsl,rpod,+,ecocyc_28,no,yes,lu_down
gadx,fis,-,ecocyc_28,yes,no,lu_down
gadx,rcsb,±,ecocyc_28_AND_regdb_13,yes,no,lu_down
gadx,rutr,-,ecocyc_28_AND_regdb_13,no,no,lu_down
gadx,fnr,-,ecocyc_28,yes,no,lu_down
gadx,rpod,+,ecocyc_28,no,yes,lu_down
gadx,torr,±,ecocyc_28,no,no,lu_down
gadx,arca,+,ecocyc_28,yes,no,lu_down
gadx,gade,+,ecocyc_28_AND_regdb_13,yes,no,lu_down
gadx,gadw,±,ecocyc_28_AND_regdb_13,no,no,lu_down
gadx,rpos,+,ecocyc_28,no,yes,lu_down
gadx,nac,-,ecocyc_28_AND_regdb_13,yes,no,lu_down
gadx,crp,-,ecocyc_28,yes,no,lu_down
