gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
acps,rpod,+,ecocyc_28,no,yes,ceroni_down
aldb,fis,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
aldb,rpos,+,ecocyc_28,no,yes,ceroni_down
aldb,crp,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
alkb,rpos,+,ecocyc_28,no,yes,ceroni_down
alkb,rpod,+,ecocyc_28,no,yes,ceroni_down
alkb,ada,±,ecocyc_28_AND_regdb_13,no,no,ceroni_down
allc,alls,+,ecocyc_28,no,no,ceroni_down
allc,rpod,+,ecocyc_28,no,yes,ceroni_down
amph,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
amtb,fnr,±,ecocyc_28,yes,no,ceroni_down
amtb,glng,+,ecocyc_28,yes,no,ceroni_down
amtb,rpon,+,ecocyc_28,no,yes,ceroni_down
amtb,fur,±,ecocyc_28,yes,no,ceroni_down
amtb,gadx,+,ecocyc_28,yes,no,ceroni_down
arab,fur,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
arab,rpod,+,ecocyc_28,no,yes,ceroni_down
arab,arac,±,ecocyc_28_AND_regdb_13,no,no,ceroni_down
arab,crp,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
arae,arac,+,ecocyc_28_AND_regdb_13,no,no,ceroni_down
arae,rpod,+,ecocyc_28,no,yes,ceroni_down
arae,crp,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
arae,nac,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
bioa,rpod,+,ecocyc_28,no,yes,ceroni_down
bioa,bira,-,ecocyc_28_AND_regdb_13,no,no,ceroni_down
biob,rpod,+,ecocyc_28,no,yes,ceroni_down
biob,bira,-,ecocyc_28_AND_regdb_13,no,no,ceroni_down
cait,rpod,+,ecocyc_28,no,yes,ceroni_down
cait,arca,+,ecocyc_28,yes,no,ceroni_down
cait,fnr,+,ecocyc_28,yes,no,ceroni_down
cait,caif,+,ecocyc_28_AND_regdb_13,no,no,ceroni_down
cait,crp,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
cait,hns,-,ecocyc_28,yes,no,ceroni_down
ccmd,flhd,+,ecocyc_28,yes,no,ceroni_down
ccmd,narp,±,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
ccmd,rpod,+,ecocyc_28,no,yes,ceroni_down
ccmd,flhc,+,ecocyc_28,yes,no,ceroni_down
ccmd,fnr,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_down
