gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
abga,nac,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
agaa,crp,+,regdb_13,yes,no,ceroni_up
agaa,agar,-,regdb_13,no,no,ceroni_up
agai,rpod,+,ecocyc_28,no,yes,ceroni_up
agai,agar,-,ecocyc_28_AND_regdb_13,no,no,ceroni_up
arsr,arsr,-,ecocyc_28_AND_regdb_13,no,no,ceroni_up
arsr,rpod,+,ecocyc_28,no,yes,ceroni_up
atob,ihfb,+,ecocyc_28,yes,no,ceroni_up
atob,atoc,+,ecocyc_28_AND_regdb_13,no,no,ceroni_up
atob,ihfa,+,ecocyc_28,yes,no,ceroni_up
atob,rpon,+,ecocyc_28,no,yes,ceroni_up
atoe,ihfb,+,ecocyc_28,yes,no,ceroni_up
atoe,atoc,+,ecocyc_28_AND_regdb_13,no,no,ceroni_up
atoe,ihfa,+,ecocyc_28,yes,no,ceroni_up
atoe,rpon,+,ecocyc_28,no,yes,ceroni_up
atoe,ihf,+,regdb_13,no,no,ceroni_up
azuc,crp,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
azuc,fnrs,-,ecocyc_28,no,no,ceroni_up
azuc,rpod,+,ecocyc_28,no,yes,ceroni_up
clpb,rpoh,+,ecocyc_28,no,yes,ceroni_up
clpb,rpod,+,ecocyc_28,no,yes,ceroni_up
cspa,rpod,+,ecocyc_28,no,yes,ceroni_up
cspa,fis,+,ecocyc_28,yes,no,ceroni_up
cspa,cpxr,+,ecocyc_28,yes,no,ceroni_up
cspa,zrar,-,ecocyc_28,no,no,ceroni_up
cspa,ydip,+,ecocyc_28,no,no,ceroni_up
cspa,hns,-,ecocyc_28,yes,no,ceroni_up
cspa,h-ns,-,regdb_13,no,no,ceroni_up
cynt,cynr,+,ecocyc_28_AND_regdb_13,no,no,ceroni_up
cynt,nac,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
cynt,rpod,+,ecocyc_28,no,yes,ceroni_up
cysc,cysb,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
cysc,rpod,+,ecocyc_28,no,yes,ceroni_up
dnak,rpoh,+,ecocyc_28,no,yes,ceroni_up
elfa,nac,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
elfa,slya,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
elfa,crp,+,ecocyc_28,yes,no,ceroni_up
elfa,hns,-,ecocyc_28,yes,no,ceroni_up
fdnh,fnr,±,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fdnh,narp,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fdnh,narl,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fdnh,rpod,+,ecocyc_28,no,yes,ceroni_up
fdni,fnr,±,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fdni,narp,-,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fdni,narl,+,ecocyc_28_AND_regdb_13,yes,no,ceroni_up
fdni,rpod,+,ecocyc_28,no,yes,ceroni_up
