gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
accc,accb,-,ecocyc_28,no,no,gummesson_down
accc,rpod,+,ecocyc_28,no,yes,gummesson_down
accc,fadr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_down
adep,yiau,+,ecocyc_28,no,no,gummesson_down
adep,kdpe,-,ecocyc_28,no,no,gummesson_down
alaw,rpod,+,ecocyc_28,no,yes,gummesson_down
alaw,fis,+,ecocyc_28,yes,no,gummesson_down
alda,dnaa,-,ecocyc_28_AND_regdb_13,no,no,gummesson_down
alda,rob,+,ecocyc_28,yes,no,gummesson_down
alda,mara,+,ecocyc_28,yes,no,gummesson_down
alda,fnr,-,ecocyc_28,yes,no,gummesson_down
alda,rpod,+,ecocyc_28,no,yes,gummesson_down
alda,soxs,+,ecocyc_28,yes,no,gummesson_down
alda,arca,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
alda,crp,+,ecocyc_28,yes,no,gummesson_down
arga,argr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
arga,rpod,+,ecocyc_28,no,yes,gummesson_down
arga,lrp,-,ecocyc_28,yes,no,gummesson_down
argb,argr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
argb,rpod,+,ecocyc_28,no,yes,gummesson_down
argc,argr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
argc,rpod,+,ecocyc_28,no,yes,gummesson_down
argd,argr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
argd,rpod,+,ecocyc_28,no,yes,gummesson_down
argd,phop,-,ecocyc_28,no,no,gummesson_down
argf,argr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
argf,fur,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
argf,rpod,+,ecocyc_28,no,yes,gummesson_down
argi,argr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
argi,dksa,+,ecocyc_28,yes,no,gummesson_down
argi,rpod,+,ecocyc_28,no,yes,gummesson_down
arof,tyrr,-,ecocyc_28_AND_regdb_13,no,no,gummesson_down
arof,rpod,+,ecocyc_28,no,yes,gummesson_down
arof,nac,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
arof,soxr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_down
artj,argr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
artj,rpod,+,ecocyc_28,no,yes,gummesson_down
bioa,rpod,+,ecocyc_28,no,yes,gummesson_down
bioa,bira,-,ecocyc_28_AND_regdb_13,no,no,gummesson_down
biob,rpod,+,ecocyc_28,no,yes,gummesson_down
biob,bira,-,ecocyc_28_AND_regdb_13,no,no,gummesson_down
bioc,rpod,+,ecocyc_28,no,yes,gummesson_down
bioc,bira,-,ecocyc_28_AND_regdb_13,no,no,gummesson_down
biod,rpod,+,ecocyc_28,no,yes,gummesson_down
biod,bira,-,ecocyc_28_AND_regdb_13,no,no,gummesson_down
biof,rpod,+,ecocyc_28,no,yes,gummesson_down
biof,bira,-,ecocyc_28_AND_regdb_13,no,no,gummesson_down
cara,ihfa,±,ecocyc_28,yes,no,gummesson_down
cara,rpod,+,ecocyc_28,no,yes,gummesson_down
cara,arca,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
cara,fis,+,ecocyc_28,yes,no,gummesson_down
cara,rutr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_down
cara,argr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
cara,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
cara,ihfb,±,ecocyc_28,yes,no,gummesson_down
cara,purr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
cara,pepa,-,ecocyc_28_AND_regdb_13,no,no,gummesson_down
cara,ihf,±,regdb_13,no,no,gummesson_down
carb,ihfa,±,ecocyc_28,yes,no,gummesson_down
carb,rpod,+,ecocyc_28,no,yes,gummesson_down
carb,fis,+,ecocyc_28,yes,no,gummesson_down
carb,rutr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_down
carb,argr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
carb,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
carb,ihfb,±,ecocyc_28,yes,no,gummesson_down
carb,purr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
carb,pepa,-,ecocyc_28_AND_regdb_13,no,no,gummesson_down
carb,ihf,±,regdb_13,no,no,gummesson_down
codb,nac,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
codb,purr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
codb,rpod,+,ecocyc_28,no,yes,gummesson_down
cspa,rpod,+,ecocyc_28,no,yes,gummesson_down
cspa,fis,+,ecocyc_28,yes,no,gummesson_down
cspa,cpxr,+,ecocyc_28,yes,no,gummesson_down
cspa,zrar,-,ecocyc_28,no,no,gummesson_down
cspa,ydip,+,ecocyc_28,no,no,gummesson_down
cspa,hns,-,ecocyc_28,yes,no,gummesson_down
cspa,h-ns,-,regdb_13,no,no,gummesson_down
cvpa,argr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
cvpa,purr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
cvpa,rpod,+,ecocyc_28,no,yes,gummesson_down
dusb,fis,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_down
