gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
add,rbsr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
add,rpod,+,ecocyc_28,no,yes,gummesson_up
alae,rpod,+,ecocyc_28,no,yes,gummesson_up
alae,lrp,±,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
alae,glar,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
arir,mara,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
arir,rpod,+,ecocyc_28,no,yes,gummesson_up
arir,cysb,+,ecocyc_28,yes,no,gummesson_up
arir,rpos,+,ecocyc_28,no,yes,gummesson_up
arir,blur,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
astb,rpod,+,ecocyc_28,no,yes,gummesson_up
astb,rpos,+,ecocyc_28,no,yes,gummesson_up
astb,glng,+,ecocyc_28,yes,no,gummesson_up
astb,argr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
astb,rpon,+,ecocyc_28,no,yes,gummesson_up
astb,ntrc,+,regdb_13,no,no,gummesson_up
astc,rpod,+,ecocyc_28,no,yes,gummesson_up
astc,lrp,±,ecocyc_28,yes,no,gummesson_up
astc,cpxr,-,ecocyc_28,yes,no,gummesson_up
astc,glng,+,ecocyc_28,yes,no,gummesson_up
astc,rpos,+,ecocyc_28,no,yes,gummesson_up
astc,rob,-,ecocyc_28,yes,no,gummesson_up
astc,argr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
astc,rpon,+,ecocyc_28,no,yes,gummesson_up
astc,ntrc,+,regdb_13,no,no,gummesson_up
bdm,rcsb,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
bssr,fur,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
cfa,rpod,+,ecocyc_28,no,yes,gummesson_up
cfa,rydc,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
cfa,cpxq,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
cfa,rpos,+,ecocyc_28,no,yes,gummesson_up
cfa,arrs,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
cfa,nac,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csgb,rpod,+,ecocyc_28,no,yes,gummesson_up
csgb,fliz,-,ecocyc_28,no,no,gummesson_up
csgb,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csgb,rpos,+,ecocyc_28,no,yes,gummesson_up
csgb,btsr,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgb,csgd,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csgd,ihfa,+,ecocyc_28,yes,no,gummesson_up
csgd,gcvb,-,ecocyc_28,yes,no,gummesson_up
csgd,mqsa,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgd,ompr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csgd,rpos,+,ecocyc_28,no,yes,gummesson_up
csgd,rcsa,-,ecocyc_28,no,no,gummesson_up
csgd,bola,+,ecocyc_28,no,no,gummesson_up
csgd,cra,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csgd,crp,+,ecocyc_28,yes,no,gummesson_up
csgd,fliz,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgd,rsta,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgd,btsr,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgd,ihfb,+,ecocyc_28,yes,no,gummesson_up
csgd,rybb,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgd,rydc,-,ecocyc_28,no,no,gummesson_up
csgd,hns,-,ecocyc_28,yes,no,gummesson_up
csgd,omra,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgd,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csgd,mlra,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgd,rpra,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgd,rpod,+,ecocyc_28,no,yes,gummesson_up
csgd,basr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgd,rcda,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgd,csgd,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csgd,rcsb,-,ecocyc_28,yes,no,gummesson_up
csgd,omrb,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgd,mcas,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgd,h-ns,-,regdb_13,no,no,gummesson_up
csgd,ihf,+,regdb_13,no,no,gummesson_up
csgf,ihfa,+,ecocyc_28,yes,no,gummesson_up
csgf,gcvb,-,ecocyc_28,yes,no,gummesson_up
csgf,mqsa,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgf,ompr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csgf,rpos,+,ecocyc_28,no,yes,gummesson_up
csgf,rcsa,-,ecocyc_28,no,no,gummesson_up
csgf,bola,+,ecocyc_28,no,no,gummesson_up
csgf,cra,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csgf,crp,+,ecocyc_28,yes,no,gummesson_up
csgf,fliz,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgf,rsta,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgf,btsr,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgf,ihfb,+,ecocyc_28,yes,no,gummesson_up
csgf,rybb,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgf,rydc,-,ecocyc_28,no,no,gummesson_up
csgf,hns,-,ecocyc_28,yes,no,gummesson_up
csgf,omra,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgf,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csgf,mlra,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgf,rpra,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgf,rpod,+,ecocyc_28,no,yes,gummesson_up
csgf,basr,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgf,rcda,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgf,csgd,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csgf,rcsb,-,ecocyc_28,yes,no,gummesson_up
csgf,omrb,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgf,mcas,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
csgf,h-ns,-,regdb_13,no,no,gummesson_up
csgf,ihf,+,regdb_13,no,no,gummesson_up
csrc,crp,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csrc,dksa,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
csrc,uvry,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
dada,nac,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
dada,rpod,+,ecocyc_28,no,yes,gummesson_up
dada,lrp,±,ecocyc_28,yes,no,gummesson_up
dada,crp,±,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
dadx,rpod,+,ecocyc_28,no,yes,gummesson_up
dadx,lrp,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
dadx,crp,±,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
dps,fis,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
dps,rpod,+,ecocyc_28,no,yes,gummesson_up
dps,ihfa,+,ecocyc_28,yes,no,gummesson_up
dps,rpos,+,ecocyc_28,no,yes,gummesson_up
dps,mntr,-,ecocyc_28,no,no,gummesson_up
dps,argr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
dps,oxyr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
dps,ihfb,+,ecocyc_28,yes,no,gummesson_up
dps,hns,-,ecocyc_28,yes,no,gummesson_up
dps,h-ns,-,regdb_13,no,no,gummesson_up
emrd,basr,+,ecocyc_28,no,no,gummesson_up
emrd,lrp,-,ecocyc_28,yes,no,gummesson_up
emrd,rpon,+,ecocyc_28,no,yes,gummesson_up
euth,hipb,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
flxa,fis,+,ecocyc_28,yes,no,gummesson_up
flxa,flia,+,ecocyc_28,no,yes,gummesson_up
gada,fis,-,ecocyc_28,yes,no,gummesson_up
gada,rcsb,±,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
gada,torr,±,ecocyc_28,no,no,gummesson_up
gada,fnr,-,ecocyc_28,yes,no,gummesson_up
gada,rpod,+,ecocyc_28,no,yes,gummesson_up
gada,arca,+,ecocyc_28,yes,no,gummesson_up
gada,gade,+,ecocyc_28,yes,no,gummesson_up
gada,gadw,±,ecocyc_28_AND_regdb_13,no,no,gummesson_up
gada,rpos,+,ecocyc_28,no,yes,gummesson_up
gada,crp,-,ecocyc_28,yes,no,gummesson_up
gada,gadx,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
gada,adiy,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
gada,ptrr,-,ecocyc_28,no,no,gummesson_up
gada,hns,-,ecocyc_28,yes,no,gummesson_up
gada,h-ns,-,regdb_13,no,no,gummesson_up
gada,gadrcs,+,regdb_13,no,no,gummesson_up
gadb,fis,-,ecocyc_28,yes,no,gummesson_up
gadb,ydci,+,ecocyc_28,no,no,gummesson_up
gadb,rpod,+,ecocyc_28,no,yes,gummesson_up
gadb,fliz,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
gadb,lrp,-,ecocyc_28,yes,no,gummesson_up
gadb,rcsb,+,ecocyc_28,yes,no,gummesson_up
gadb,gade,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
gadb,gadw,±,ecocyc_28_AND_regdb_13,no,no,gummesson_up
gadb,rpos,+,ecocyc_28,no,yes,gummesson_up
gadb,torr,+,ecocyc_28,no,no,gummesson_up
gadb,ydeo,+,ecocyc_28,no,no,gummesson_up
gadb,crp,-,ecocyc_28,yes,no,gummesson_up
gadb,gadx,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
gadb,adiy,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
gadb,ptrr,-,ecocyc_28,no,no,gummesson_up
gadb,hns,-,ecocyc_28,yes,no,gummesson_up
gadc,fis,-,ecocyc_28,yes,no,gummesson_up
gadc,rpod,+,ecocyc_28,no,yes,gummesson_up
gadc,fliz,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
gadc,rcsb,+,ecocyc_28,yes,no,gummesson_up
gadc,gade,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
gadc,gadw,±,ecocyc_28_AND_regdb_13,no,no,gummesson_up
gadc,rpos,+,ecocyc_28,no,yes,gummesson_up
gadc,torr,+,ecocyc_28,no,no,gummesson_up
gadc,crp,-,ecocyc_28,yes,no,gummesson_up
gadc,gadx,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
gadc,adiy,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
gadc,hns,-,ecocyc_28,yes,no,gummesson_up
gade,phop,+,ecocyc_28,no,no,gummesson_up
gade,rpod,+,ecocyc_28,no,yes,gummesson_up
gade,fliz,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
gade,arca,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
gade,gade,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
gade,torr,+,ecocyc_28,no,no,gummesson_up
gade,rpos,+,ecocyc_28,no,yes,gummesson_up
gade,arrs,+,ecocyc_28,no,no,gummesson_up
gade,ydeo,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
gade,gadw,+,ecocyc_28,no,no,gummesson_up
gade,crp,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
gade,evga,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
gade,gadx,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
gade,nac,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
gade,hns,-,ecocyc_28,yes,no,gummesson_up
gade,h-ns,-,regdb_13,no,no,gummesson_up
gcvb,rpod,+,ecocyc_28,no,yes,gummesson_up
gcvb,gcva,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
gcvb,arca,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
glgs,rob,+,ecocyc_28,yes,no,gummesson_up
glgs,rpos,+,ecocyc_28,no,yes,gummesson_up
glgs,crp,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
glgs,csra,-,ecocyc_28,no,no,gummesson_up
glsa,rpos,+,ecocyc_28,no,yes,gummesson_up
glsa,cpxr,-,ecocyc_28,yes,no,gummesson_up
glsa,gadx,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
hcha,rpod,+,ecocyc_28,no,yes,gummesson_up
hcha,rpos,+,ecocyc_28,no,yes,gummesson_up
hcha,nac,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
hcha,argr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
hcha,hns,-,ecocyc_28,yes,no,gummesson_up
hcha,h-ns,-,regdb_13,no,no,gummesson_up
hyad,fis,-,ecocyc_28,yes,no,gummesson_up
hyad,rpod,+,ecocyc_28,no,yes,gummesson_up
hyad,iscr,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
hyad,arca,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
hyad,ydeo,+,ecocyc_28_AND_regdb_13,no,no,gummesson_up
hyad,rpos,+,ecocyc_28,no,yes,gummesson_up
hyad,narl,-,ecocyc_28,yes,no,gummesson_up
hyad,narp,-,ecocyc_28,yes,no,gummesson_up
hyad,appy,+,ecocyc_28,no,no,gummesson_up
mcba,fur,NA,ecocyc_28,yes,no,gummesson_up
mcba,nac,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
mcba,mcbr,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
mcba,rpod,+,ecocyc_28,no,yes,gummesson_up
nari,fis,-,ecocyc_28,yes,no,gummesson_up
nari,rpod,+,ecocyc_28,no,yes,gummesson_up
nari,ihfa,+,ecocyc_28,yes,no,gummesson_up
nari,fnr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
nari,rsta,+,ecocyc_28,no,no,gummesson_up
nari,ihfb,+,ecocyc_28,yes,no,gummesson_up
nari,narl,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
nari,ihf,+,regdb_13,no,no,gummesson_up
naru,rpos,+,ecocyc_28,no,yes,gummesson_up
naru,fur,+,ecocyc_28,yes,no,gummesson_up
naru,ompr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
naru,rpod,+,ecocyc_28,no,yes,gummesson_up
narv,rpoe,+,ecocyc_28,no,yes,gummesson_up
narv,ompr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
narw,rpoe,+,ecocyc_28,no,yes,gummesson_up
narw,ompr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
nary,ompr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
narz,ompr,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
narz,srsr,+,ecocyc_28,yes,no,gummesson_up
osmb,nac,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
osmb,rpos,+,ecocyc_28,no,yes,gummesson_up
osmb,rpod,+,ecocyc_28,no,yes,gummesson_up
osmb,rcsb,+,ecocyc_28,yes,no,gummesson_up
osmc,rpod,+,ecocyc_28,no,yes,gummesson_up
osmc,lrp,±,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
osmc,rcsb,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
osmc,rpos,+,ecocyc_28,no,yes,gummesson_up
osmc,nhar,+,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
osmc,hns,-,ecocyc_28,yes,no,gummesson_up
osmy,fis,-,ecocyc_28,yes,no,gummesson_up
osmy,rpod,+,ecocyc_28,no,yes,gummesson_up
osmy,fliz,-,ecocyc_28_AND_regdb_13,no,no,gummesson_up
osmy,lrp,-,ecocyc_28_AND_regdb_13,yes,no,gummesson_up
