gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
aded,rpod,+,ecocyc_28,no,yes,mori_down
aded,hns,-,ecocyc_28,yes,no,mori_down
aer,fnr,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
aer,crp,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
aer,lrp,-,ecocyc_28,yes,no,mori_down
aer,flia,+,ecocyc_28,no,yes,mori_down
aspa,rpod,+,ecocyc_28,no,yes,mori_down
aspa,lrp,±,ecocyc_28_AND_regdb_13,yes,no,mori_down
aspa,fnr,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
aspa,narl,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
aspa,dcur,+,ecocyc_28,no,no,mori_down
aspa,crp,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
atpe,rpod,+,ecocyc_28,no,yes,mori_down
brnq,lrp,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
cdd,cytr,-,ecocyc_28_AND_regdb_13,no,no,mori_down
cdd,rpod,+,ecocyc_28,no,yes,mori_down
cdd,nsrr,-,ecocyc_28,yes,no,mori_down
cdd,crp,±,ecocyc_28_AND_regdb_13,yes,no,mori_down
chea,nac,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
chea,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
chea,flia,+,ecocyc_28,no,yes,mori_down
cher,fnr,+,ecocyc_28,yes,no,mori_down
cher,flia,+,ecocyc_28,no,yes,mori_down
chez,fnr,+,ecocyc_28,yes,no,mori_down
chez,flia,+,ecocyc_28,no,yes,mori_down
cspa,rpod,+,ecocyc_28,no,yes,mori_down
cspa,fis,+,ecocyc_28,yes,no,mori_down
cspa,cpxr,+,ecocyc_28,yes,no,mori_down
cspa,zrar,-,ecocyc_28,no,no,mori_down
cspa,ydip,+,ecocyc_28,no,no,mori_down
cspa,hns,-,ecocyc_28,yes,no,mori_down
cspa,h-ns,-,regdb_13,no,no,mori_down
cytr,cytr,-,ecocyc_28_AND_regdb_13,no,no,mori_down
cytr,rpod,+,ecocyc_28,no,yes,mori_down
cytr,crp,±,ecocyc_28_AND_regdb_13,yes,no,mori_down
dada,nac,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
dada,rpod,+,ecocyc_28,no,yes,mori_down
dada,lrp,±,ecocyc_28,yes,no,mori_down
dada,crp,±,ecocyc_28_AND_regdb_13,yes,no,mori_down
dcta,dcur,+,ecocyc_28_AND_regdb_13,no,no,mori_down
dcta,arca,-,ecocyc_28,yes,no,mori_down
dcta,crp,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
dcta,rpod,+,ecocyc_28,no,yes,mori_down
dead,rpod,+,ecocyc_28,no,yes,mori_down
dead,lrp,-,ecocyc_28,yes,no,mori_down
dini,nagc,-,ecocyc_28,yes,no,mori_down
dini,lexa,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
dini,rpod,+,ecocyc_28,no,yes,mori_down
dsda,dsdc,+,ecocyc_28,no,no,mori_down
dsda,crp,+,ecocyc_28,yes,no,mori_down
dsda,rpod,+,ecocyc_28,no,yes,mori_down
eco,lrp,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
fadl,phop,+,ecocyc_28,no,no,mori_down
fadl,lrp,+,ecocyc_28,yes,no,mori_down
fadl,rpon,-,ecocyc_28_AND_regdb_13,no,yes,mori_down
fadl,rpos,+,ecocyc_28,no,yes,mori_down
fadl,ompr,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
fadl,pdhr,+,ecocyc_28,yes,no,mori_down
fadl,rob,-,ecocyc_28,yes,no,mori_down
fadl,fadr,-,ecocyc_28_AND_regdb_13,no,no,mori_down
fadl,rybb,-,ecocyc_28,no,no,mori_down
fadl,arca,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
fadl,crp,+,ecocyc_28_AND_regdb_13,yes,no,mori_down
fadl,lldr,+,ecocyc_28_AND_regdb_13,no,no,mori_down
fdog,nac,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
fdog,sdhx,-,ecocyc_28_AND_regdb_13,no,no,mori_down
feca,hypt,-,ecocyc_28,no,no,mori_down
feca,feci,+,ecocyc_28,no,yes,mori_down
feca,pdhr,+,ecocyc_28,yes,no,mori_down
feca,fur,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
feca,crp,+,ecocyc_28,yes,no,mori_down
fis,fis,-,ecocyc_28_AND_regdb_13,yes,no,mori_down
fis,rpod,+,ecocyc_28,no,yes,mori_down
fis,ihfa,+,ecocyc_28,yes,no,mori_down
fis,dksa,-,ecocyc_28,yes,no,mori_down
fis,crp,±,ecocyc_28_AND_regdb_13,yes,no,mori_down
