gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
ansb,fis,-,ecocyc_28,yes,no,radzikowski_up
ansb,fur,+,ecocyc_28,yes,no,radzikowski_up
ansb,rpod,+,ecocyc_28,no,yes,radzikowski_up
ansb,lrp,±,ecocyc_28_AND_regdb_13,yes,no,radzikowski_up
ansb,nac,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_up
ansb,fnr,+,ecocyc_28_AND_regdb_13,yes,no,radzikowski_up
ansb,crp,+,ecocyc_28_AND_regdb_13,yes,no,radzikowski_up
csie,rpod,+,ecocyc_28,no,yes,radzikowski_up
csie,lrp,±,ecocyc_28,yes,no,radzikowski_up
csie,hns,+,ecocyc_28,yes,no,radzikowski_up
csie,rpos,+,ecocyc_28,no,yes,radzikowski_up
csie,nac,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_up
csie,crp,+,ecocyc_28,yes,no,radzikowski_up
fadl,phop,+,ecocyc_28,no,no,radzikowski_up
fadl,lrp,+,ecocyc_28,yes,no,radzikowski_up
fadl,rpon,-,ecocyc_28_AND_regdb_13,no,yes,radzikowski_up
fadl,rpos,+,ecocyc_28,no,yes,radzikowski_up
fadl,ompr,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_up
fadl,pdhr,+,ecocyc_28,yes,no,radzikowski_up
fadl,rob,-,ecocyc_28,yes,no,radzikowski_up
fadl,fadr,-,ecocyc_28_AND_regdb_13,no,no,radzikowski_up
fadl,rybb,-,ecocyc_28,no,no,radzikowski_up
fadl,arca,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_up
fadl,crp,+,ecocyc_28_AND_regdb_13,yes,no,radzikowski_up
fadl,lldr,+,ecocyc_28_AND_regdb_13,no,no,radzikowski_up
fdog,nac,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_up
fdog,sdhx,-,ecocyc_28_AND_regdb_13,no,no,radzikowski_up
glcc,fis,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_up
glcc,glcc,-,ecocyc_28_AND_regdb_13,no,no,radzikowski_up
glcc,rpod,+,ecocyc_28,no,yes,radzikowski_up
glcc,cra,-,ecocyc_28,yes,no,radzikowski_up
glcc,arca,-,ecocyc_28_AND_regdb_13,yes,no,radzikowski_up
glcc,crp,+,ecocyc_28,yes,no,radzikowski_up
