gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
cmtb,nac,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
cvpa,argr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
cvpa,purr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
cvpa,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
dead,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
dead,lrp,-,ecocyc_28,yes,no,sanchez_vasquez_down
dnag,lexa,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
dnag,dksa,-,ecocyc_28,yes,no,sanchez_vasquez_down
dnag,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
fadl,phop,+,ecocyc_28,no,no,sanchez_vasquez_down
fadl,lrp,+,ecocyc_28,yes,no,sanchez_vasquez_down
fadl,rpon,-,ecocyc_28_AND_regdb_13,no,yes,sanchez_vasquez_down
fadl,rpos,+,ecocyc_28,no,yes,sanchez_vasquez_down
fadl,ompr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
fadl,pdhr,+,ecocyc_28,yes,no,sanchez_vasquez_down
fadl,rob,-,ecocyc_28,yes,no,sanchez_vasquez_down
fadl,fadr,-,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_down
fadl,rybb,-,ecocyc_28,no,no,sanchez_vasquez_down
fadl,arca,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
fadl,crp,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
fadl,lldr,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_down
gluq,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
gluq,dksa,-,ecocyc_28,yes,no,sanchez_vasquez_down
glyu,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
glyu,fis,+,ecocyc_28,yes,no,sanchez_vasquez_down
ilet,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
ilet,lrp,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
ilet,dksa,-,ecocyc_28,yes,no,sanchez_vasquez_down
ilet,nhar,±,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
ilet,fis,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
ilet,rpoh,+,ecocyc_28,no,yes,sanchez_vasquez_down
ileu,hns,±,ecocyc_28,yes,no,sanchez_vasquez_down
ileu,lrp,±,ecocyc_28,yes,no,sanchez_vasquez_down
ileu,nhar,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
ileu,dksa,-,ecocyc_28,yes,no,sanchez_vasquez_down
ileu,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
ileu,fis,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
ileu,rpoh,+,ecocyc_28,no,yes,sanchez_vasquez_down
ilev,hns,±,ecocyc_28,yes,no,sanchez_vasquez_down
ilev,lrp,±,ecocyc_28,yes,no,sanchez_vasquez_down
ilev,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
ilev,dksa,-,ecocyc_28,yes,no,sanchez_vasquez_down
ilev,fis,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
ilev,nhar,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
ilev,rpoh,+,ecocyc_28,no,yes,sanchez_vasquez_down
ilex,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
infa,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
infa,yeie,-,ecocyc_28,no,no,sanchez_vasquez_down
leuw,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
leuw,fis,+,ecocyc_28,yes,no,sanchez_vasquez_down
lysp,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
lysp,lrp,±,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
lysp,argp,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_down
lysp,nac,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
lysp,fur,-,ecocyc_28,yes,no,sanchez_vasquez_down
lyst,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
lyst,fis,+,ecocyc_28,yes,no,sanchez_vasquez_down
lysv,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
lysv,fis,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
lysw,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
lysw,fis,+,ecocyc_28,yes,no,sanchez_vasquez_down
mett,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
mett,fis,+,ecocyc_28,yes,no,sanchez_vasquez_down
mett,lrp,-,ecocyc_28,yes,no,sanchez_vasquez_down
metu,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
metu,fis,+,ecocyc_28,yes,no,sanchez_vasquez_down
micc,nac,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
micc,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
mntp,fur,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
mntp,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
mntp,mntr,+,ecocyc_28,no,no,sanchez_vasquez_down
obge,mlra,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_down
obge,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
obge,dksa,-,ecocyc_28,yes,no,sanchez_vasquez_down
panf,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
phep,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
pure,purr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
pure,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
purk,purr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
purk,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
purl,purr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
purl,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
purl,fur,-,ecocyc_28,yes,no,sanchez_vasquez_down
purm,purr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
purm,fnr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
purm,lrp,±,ecocyc_28,yes,no,sanchez_vasquez_down
purm,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
pyrd,fis,-,ecocyc_28,yes,no,sanchez_vasquez_down
pyrd,purr,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
pyrd,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
quea,fis,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
rapa,rpoh,+,ecocyc_28,no,yes,sanchez_vasquez_down
rapa,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
rhle,cecr,+,ecocyc_28_AND_regdb_13,no,no,sanchez_vasquez_down
rimo,fur,-,ecocyc_28,yes,no,sanchez_vasquez_down
rlmf,nac,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
rlua,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
rpla,rpla,-,ecocyc_28,no,no,sanchez_vasquez_down
rpla,dksa,-,ecocyc_28,yes,no,sanchez_vasquez_down
rplk,rpla,-,ecocyc_28,no,no,sanchez_vasquez_down
rplk,dksa,-,ecocyc_28,yes,no,sanchez_vasquez_down
rpsf,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
rpsf,rpsr,-,ecocyc_28,no,no,sanchez_vasquez_down
rpsf,rpsf,-,ecocyc_28,no,no,sanchez_vasquez_down
rpsf,glar,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
rpsf,crp,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
rpsf,s6:s18 ribosomal subunit complex,-,regdb_13,no,no,sanchez_vasquez_down
rrfb,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
rrfb,lrp,-,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
rrfb,dksa,-,ecocyc_28,yes,no,sanchez_vasquez_down
rrfb,fis,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
rrfb,nhar,+,ecocyc_28_AND_regdb_13,yes,no,sanchez_vasquez_down
rrfb,rpoh,+,ecocyc_28,no,yes,sanchez_vasquez_down
rrfb,hns,-,ecocyc_28,yes,no,sanchez_vasquez_down
rrfb,h-ns,-,regdb_13,no,no,sanchez_vasquez_down
rrfc,hns,±,ecocyc_28,yes,no,sanchez_vasquez_down
rrfc,rpod,+,ecocyc_28,no,yes,sanchez_vasquez_down
