gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
cher,fnr,+,ecocyc_28,yes,no,zhu_down
cher,flia,+,ecocyc_28,no,yes,zhu_down
dmsa,fis,-,ecocyc_28,yes,no,zhu_down
dmsa,fur,+,ecocyc_28_AND_regdb_13,yes,no,zhu_down
dmsa,rpod,+,ecocyc_28,no,yes,zhu_down
dmsa,mode,-,ecocyc_28_AND_regdb_13,yes,no,zhu_down
dmsa,ihfb,-,ecocyc_28,yes,no,zhu_down
dmsa,fnr,+,ecocyc_28_AND_regdb_13,yes,no,zhu_down
dmsa,narl,-,ecocyc_28_AND_regdb_13,yes,no,zhu_down
dmsa,ihfa,-,ecocyc_28,yes,no,zhu_down
dmsa,ihf,-,regdb_13,no,no,zhu_down
flgb,flhd,+,ecocyc_28,yes,no,zhu_down
flgb,rpod,+,ecocyc_28,no,yes,zhu_down
flgb,flhc,+,ecocyc_28,yes,no,zhu_down
flgb,flhdc,+,regdb_13,no,no,zhu_down
flge,flhd,+,ecocyc_28,yes,no,zhu_down
flge,rpod,+,ecocyc_28,no,yes,zhu_down
flge,flhc,+,ecocyc_28,yes,no,zhu_down
flge,flhdc,+,regdb_13,no,no,zhu_down
flgg,flhd,+,ecocyc_28,yes,no,zhu_down
flgg,rpod,+,ecocyc_28,no,yes,zhu_down
flgg,flhc,+,ecocyc_28,yes,no,zhu_down
flgg,flhdc,+,regdb_13,no,no,zhu_down
flgi,flhd,+,ecocyc_28,yes,no,zhu_down
flgi,rpod,+,ecocyc_28,no,yes,zhu_down
flgi,flhc,+,ecocyc_28,yes,no,zhu_down
flgi,flhdc,+,regdb_13,no,no,zhu_down
flgl,fur,+,ecocyc_28,yes,no,zhu_down
flgl,flia,+,ecocyc_28,no,yes,zhu_down
flgn,flhd,+,ecocyc_28,yes,no,zhu_down
flgn,rpod,+,ecocyc_28,no,yes,zhu_down
flgn,flia,+,ecocyc_28,no,yes,zhu_down
flgn,csgd,-,ecocyc_28_AND_regdb_13,yes,no,zhu_down
flgn,flhc,+,ecocyc_28,yes,no,zhu_down
flgn,flhdc,+,regdb_13,no,no,zhu_down
flha,flhd,+,ecocyc_28,yes,no,zhu_down
flha,rpod,+,ecocyc_28,no,yes,zhu_down
flha,flhc,+,ecocyc_28,yes,no,zhu_down
flha,flhdc,+,regdb_13,no,no,zhu_down
flid,flhd,+,ecocyc_28,yes,no,zhu_down
flid,rpod,+,ecocyc_28,no,yes,zhu_down
flid,flia,+,ecocyc_28,no,yes,zhu_down
flid,nac,-,ecocyc_28_AND_regdb_13,yes,no,zhu_down
flid,flhc,+,ecocyc_28,yes,no,zhu_down
flid,flhdc,+,regdb_13,no,no,zhu_down
flif,flhd,+,ecocyc_28,yes,no,zhu_down
flif,rpod,+,ecocyc_28,no,yes,zhu_down
flif,flia,+,ecocyc_28,no,yes,zhu_down
flif,csgd,-,ecocyc_28_AND_regdb_13,yes,no,zhu_down
flif,flhc,+,ecocyc_28,yes,no,zhu_down
flif,pdel,-,ecocyc_28_AND_regdb_13,no,no,zhu_down
flif,flhdc,+,regdb_13,no,no,zhu_down
flih,flhd,+,ecocyc_28,yes,no,zhu_down
flih,rpod,+,ecocyc_28,no,yes,zhu_down
flih,flia,+,ecocyc_28,no,yes,zhu_down
flih,csgd,-,ecocyc_28_AND_regdb_13,yes,no,zhu_down
flih,flhc,+,ecocyc_28,yes,no,zhu_down
flih,pdel,-,ecocyc_28_AND_regdb_13,no,no,zhu_down
flih,flhdc,+,regdb_13,no,no,zhu_down
flu,ydci,+,ecocyc_28,no,no,zhu_down
flu,dksa,+,ecocyc_28,yes,no,zhu_down
flu,rpod,+,ecocyc_28,no,yes,zhu_down
flu,oxyr,-,ecocyc_28_AND_regdb_13,yes,no,zhu_down
hybo,narl,-,ecocyc_28,yes,no,zhu_down
hybo,fur,+,ecocyc_28_AND_regdb_13,yes,no,zhu_down
hybo,arca,-,ecocyc_28,yes,no,zhu_down
hybo,rpod,+,ecocyc_28,no,yes,zhu_down
yecr,flhd,+,ecocyc_28,yes,no,zhu_down
yecr,flhc,+,ecocyc_28,yes,no,zhu_down
yecr,fnr,+,ecocyc_28,yes,no,zhu_down
yecr,flhdc,+,regdb_13,no,no,zhu_down
