gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
csgd,ihfa,+,ecocyc_28,yes,no,zhu_up
csgd,gcvb,-,ecocyc_28,yes,no,zhu_up
csgd,mqsa,-,ecocyc_28_AND_regdb_13,no,no,zhu_up
csgd,ompr,+,ecocyc_28_AND_regdb_13,yes,no,zhu_up
csgd,rpos,+,ecocyc_28,no,yes,zhu_up
csgd,rcsa,-,ecocyc_28,no,no,zhu_up
csgd,bola,+,ecocyc_28,no,no,zhu_up
csgd,cra,+,ecocyc_28_AND_regdb_13,yes,no,zhu_up
csgd,crp,+,ecocyc_28,yes,no,zhu_up
csgd,fliz,-,ecocyc_28_AND_regdb_13,no,no,zhu_up
csgd,rsta,-,ecocyc_28_AND_regdb_13,no,no,zhu_up
csgd,btsr,-,ecocyc_28_AND_regdb_13,no,no,zhu_up
csgd,ihfb,+,ecocyc_28,yes,no,zhu_up
csgd,rybb,-,ecocyc_28_AND_regdb_13,no,no,zhu_up
csgd,rydc,-,ecocyc_28,no,no,zhu_up
csgd,hns,-,ecocyc_28,yes,no,zhu_up
csgd,omra,-,ecocyc_28_AND_regdb_13,no,no,zhu_up
csgd,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,zhu_up
csgd,mlra,+,ecocyc_28_AND_regdb_13,no,no,zhu_up
csgd,rpra,-,ecocyc_28_AND_regdb_13,no,no,zhu_up
csgd,rpod,+,ecocyc_28,no,yes,zhu_up
csgd,basr,+,ecocyc_28_AND_regdb_13,no,no,zhu_up
csgd,rcda,+,ecocyc_28_AND_regdb_13,no,no,zhu_up
csgd,csgd,+,ecocyc_28_AND_regdb_13,yes,no,zhu_up
csgd,rcsb,-,ecocyc_28,yes,no,zhu_up
csgd,omrb,-,ecocyc_28_AND_regdb_13,no,no,zhu_up
csgd,mcas,-,ecocyc_28_AND_regdb_13,no,no,zhu_up
csgd,h-ns,-,regdb_13,no,no,zhu_up
csgd,ihf,+,regdb_13,no,no,zhu_up
dosc,hns,-,ecocyc_28,yes,no,zhu_up
elab,oxyr,±,ecocyc_28_AND_regdb_13,yes,no,zhu_up
elab,rpos,+,ecocyc_28,no,yes,zhu_up
elab,rob,-,ecocyc_28,yes,no,zhu_up
fhla,nsrr,-,ecocyc_28,yes,no,zhu_up
fhla,ihfa,+,ecocyc_28,yes,no,zhu_up
fhla,oxys,-,ecocyc_28,no,no,zhu_up
fhla,fnr,+,ecocyc_28_AND_regdb_13,yes,no,zhu_up
fhla,rpon,+,ecocyc_28,no,yes,zhu_up
fhla,ihfb,+,ecocyc_28,yes,no,zhu_up
fhla,fhla,+,ecocyc_28_AND_regdb_13,yes,no,zhu_up
fhla,ihf,+,regdb_13,no,no,zhu_up
hdeb,phop,+,ecocyc_28_AND_regdb_13,no,no,zhu_up
hdeb,rpod,+,ecocyc_28,no,yes,zhu_up
hdeb,fliz,-,ecocyc_28_AND_regdb_13,no,no,zhu_up
hdeb,lrp,-,ecocyc_28,yes,no,zhu_up
hdeb,rcsb,+,ecocyc_28,yes,no,zhu_up
hdeb,gade,+,ecocyc_28_AND_regdb_13,yes,no,zhu_up
hdeb,gadw,±,ecocyc_28_AND_regdb_13,no,no,zhu_up
hdeb,rpos,+,ecocyc_28,no,yes,zhu_up
hdeb,torr,+,ecocyc_28,no,no,zhu_up
hdeb,gadx,±,ecocyc_28,yes,no,zhu_up
hdeb,mara,-,ecocyc_28_AND_regdb_13,yes,no,zhu_up
hdeb,hns,-,ecocyc_28,yes,no,zhu_up
hdeb,h-ns,-,regdb_13,no,no,zhu_up
laci,rpod,+,ecocyc_28,no,yes,zhu_up
laci,crp,+,ecocyc_28_AND_regdb_13,yes,no,zhu_up
pata,ihfb,NA,ecocyc_28,yes,no,zhu_up
pata,lrp,±,ecocyc_28,yes,no,zhu_up
pata,ihfa,NA,ecocyc_28,yes,no,zhu_up
pata,glng,+,ecocyc_28,yes,no,zhu_up
pata,rpos,+,ecocyc_28,no,yes,zhu_up
pata,fis,NA,ecocyc_28,yes,no,zhu_up
pata,rpon,+,ecocyc_28,no,yes,zhu_up
rcla,rpoe,+,ecocyc_28,no,yes,zhu_up
rcla,rclr,+,ecocyc_28_AND_regdb_13,no,no,zhu_up
yabi,rpos,+,ecocyc_28,no,yes,zhu_up
ycac,baer,+,ecocyc_28,no,no,zhu_up
ycac,fnr,-,ecocyc_28,yes,no,zhu_up
ycac,nac,-,ecocyc_28_AND_regdb_13,yes,no,zhu_up
yjbj,fliz,-,ecocyc_28_AND_regdb_13,no,no,zhu_up
yjbj,lrp,-,ecocyc_28_AND_regdb_13,yes,no,zhu_up
yjbj,fur,-,ecocyc_28,yes,no,zhu_up
