gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
argb,argr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
argb,rpod,+,ecocyc_28,no,yes,emani_down
argd,argr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
argd,rpod,+,ecocyc_28,no,yes,emani_down
argd,phop,-,ecocyc_28,no,no,emani_down
argf,argr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
argf,fur,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
argf,rpod,+,ecocyc_28,no,yes,emani_down
argh,argr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
argh,rpod,+,ecocyc_28,no,yes,emani_down
cara,ihfa,±,ecocyc_28,yes,no,emani_down
cara,rpod,+,ecocyc_28,no,yes,emani_down
cara,arca,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
cara,fis,+,ecocyc_28,yes,no,emani_down
cara,rutr,+,ecocyc_28_AND_regdb_13,no,no,emani_down
cara,argr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
cara,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
cara,ihfb,±,ecocyc_28,yes,no,emani_down
cara,purr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
cara,pepa,-,ecocyc_28_AND_regdb_13,no,no,emani_down
cara,ihf,±,regdb_13,no,no,emani_down
carb,ihfa,±,ecocyc_28,yes,no,emani_down
carb,rpod,+,ecocyc_28,no,yes,emani_down
carb,fis,+,ecocyc_28,yes,no,emani_down
carb,rutr,+,ecocyc_28_AND_regdb_13,no,no,emani_down
carb,argr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
carb,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
carb,ihfb,±,ecocyc_28,yes,no,emani_down
carb,purr,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
carb,pepa,-,ecocyc_28_AND_regdb_13,no,no,emani_down
carb,ihf,±,regdb_13,no,no,emani_down
csta,gcvb,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
csta,rpod,+,ecocyc_28,no,yes,emani_down
csta,crp,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
gada,fis,-,ecocyc_28,yes,no,emani_down
gada,rcsb,±,ecocyc_28_AND_regdb_13,yes,no,emani_down
gada,torr,±,ecocyc_28,no,no,emani_down
gada,fnr,-,ecocyc_28,yes,no,emani_down
gada,rpod,+,ecocyc_28,no,yes,emani_down
gada,arca,+,ecocyc_28,yes,no,emani_down
gada,gade,+,ecocyc_28,yes,no,emani_down
gada,gadw,±,ecocyc_28_AND_regdb_13,no,no,emani_down
gada,rpos,+,ecocyc_28,no,yes,emani_down
gada,crp,-,ecocyc_28,yes,no,emani_down
gada,gadx,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
gada,adiy,+,ecocyc_28_AND_regdb_13,no,no,emani_down
gada,ptrr,-,ecocyc_28,no,no,emani_down
gada,hns,-,ecocyc_28,yes,no,emani_down
gada,h-ns,-,regdb_13,no,no,emani_down
gada,gadrcs,+,regdb_13,no,no,emani_down
gadc,fis,-,ecocyc_28,yes,no,emani_down
gadc,rpod,+,ecocyc_28,no,yes,emani_down
gadc,fliz,-,ecocyc_28_AND_regdb_13,no,no,emani_down
gadc,rcsb,+,ecocyc_28,yes,no,emani_down
gadc,gade,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
gadc,gadw,±,ecocyc_28_AND_regdb_13,no,no,emani_down
gadc,rpos,+,ecocyc_28,no,yes,emani_down
gadc,torr,+,ecocyc_28,no,no,emani_down
gadc,crp,-,ecocyc_28,yes,no,emani_down
gadc,gadx,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
gadc,adiy,+,ecocyc_28_AND_regdb_13,no,no,emani_down
gadc,hns,-,ecocyc_28,yes,no,emani_down
gade,phop,+,ecocyc_28,no,no,emani_down
gade,rpod,+,ecocyc_28,no,yes,emani_down
gade,fliz,-,ecocyc_28_AND_regdb_13,no,no,emani_down
gade,arca,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
gade,gade,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
gade,torr,+,ecocyc_28,no,no,emani_down
gade,rpos,+,ecocyc_28,no,yes,emani_down
gade,arrs,+,ecocyc_28,no,no,emani_down
gade,ydeo,+,ecocyc_28_AND_regdb_13,no,no,emani_down
gade,gadw,+,ecocyc_28,no,no,emani_down
gade,crp,-,ecocyc_28_AND_regdb_13,yes,no,emani_down
gade,evga,+,ecocyc_28_AND_regdb_13,no,no,emani_down
gade,gadx,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
gade,nac,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
gade,hns,-,ecocyc_28,yes,no,emani_down
gade,h-ns,-,regdb_13,no,no,emani_down
glna,rpod,+,ecocyc_28,no,yes,emani_down
glna,glng,±,ecocyc_28,yes,no,emani_down
glna,lrp,+,ecocyc_28,yes,no,emani_down
glna,fis,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
glna,crp,±,ecocyc_28,yes,no,emani_down
glna,rpon,+,ecocyc_28,no,yes,emani_down
glna,zrar,+,ecocyc_28_AND_regdb_13,no,no,emani_down
glna,ntrc,±,regdb_13,no,no,emani_down
hdeb,phop,+,ecocyc_28_AND_regdb_13,no,no,emani_down
hdeb,rpod,+,ecocyc_28,no,yes,emani_down
hdeb,fliz,-,ecocyc_28_AND_regdb_13,no,no,emani_down
hdeb,lrp,-,ecocyc_28,yes,no,emani_down
hdeb,rcsb,+,ecocyc_28,yes,no,emani_down
hdeb,gade,+,ecocyc_28_AND_regdb_13,yes,no,emani_down
