gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
agab,rpod,+,ecocyc_28,no,yes,emani_up
agab,agar,-,ecocyc_28_AND_regdb_13,no,no,emani_up
agas,rpod,+,ecocyc_28,no,yes,emani_up
agas,agar,-,ecocyc_28_AND_regdb_13,no,no,emani_up
amph,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
asta,rpod,+,ecocyc_28,no,yes,emani_up
asta,rpos,+,ecocyc_28,no,yes,emani_up
asta,glng,+,ecocyc_28,yes,no,emani_up
asta,argr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
asta,rpon,+,ecocyc_28,no,yes,emani_up
asta,ntrc,+,regdb_13,no,no,emani_up
astc,rpod,+,ecocyc_28,no,yes,emani_up
astc,lrp,±,ecocyc_28,yes,no,emani_up
astc,cpxr,-,ecocyc_28,yes,no,emani_up
astc,glng,+,ecocyc_28,yes,no,emani_up
astc,rpos,+,ecocyc_28,no,yes,emani_up
astc,rob,-,ecocyc_28,yes,no,emani_up
astc,argr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
astc,rpon,+,ecocyc_28,no,yes,emani_up
astc,ntrc,+,regdb_13,no,no,emani_up
astd,rpod,+,ecocyc_28,no,yes,emani_up
astd,rpos,+,ecocyc_28,no,yes,emani_up
astd,glng,+,ecocyc_28,yes,no,emani_up
astd,argr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
astd,rpon,+,ecocyc_28,no,yes,emani_up
astd,ntrc,+,regdb_13,no,no,emani_up
bsma,rpos,+,ecocyc_28,no,yes,emani_up
bsma,ycit,+,ecocyc_28,no,no,emani_up
cdd,cytr,-,ecocyc_28_AND_regdb_13,no,no,emani_up
cdd,rpod,+,ecocyc_28,no,yes,emani_up
cdd,nsrr,-,ecocyc_28,yes,no,emani_up
cdd,crp,±,ecocyc_28_AND_regdb_13,yes,no,emani_up
cpxp,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
cpxp,rpod,+,ecocyc_28,no,yes,emani_up
cpxp,zrar,+,ecocyc_28_AND_regdb_13,no,no,emani_up
cpxp,cpxq,-,ecocyc_28,no,no,emani_up
csga,rpod,+,ecocyc_28,no,yes,emani_up
csga,fliz,-,ecocyc_28,no,no,emani_up
csga,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,emani_up
csga,rpos,+,ecocyc_28,no,yes,emani_up
csga,btsr,-,ecocyc_28_AND_regdb_13,no,no,emani_up
csga,bola,+,ecocyc_28,no,no,emani_up
csga,csgd,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
dgcz,rpod,+,ecocyc_28,no,yes,emani_up
dgcz,cysb,+,ecocyc_28,yes,no,emani_up
dgcz,lrp,+,ecocyc_28,yes,no,emani_up
dgcz,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
dgcz,hns,-,ecocyc_28,yes,no,emani_up
dgcz,csra,-,ecocyc_28,no,no,emani_up
dgcz,carbon storage regulator csra,-,regdb_13,no,no,emani_up
fadb,rpod,+,ecocyc_28,no,yes,emani_up
fadb,fis,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
fadb,rob,-,ecocyc_28,yes,no,emani_up
fadb,fadr,-,ecocyc_28,no,no,emani_up
fadb,arca,-,ecocyc_28_AND_regdb_13,yes,no,emani_up
fade,cpxr,-,ecocyc_28,yes,no,emani_up
fade,ompr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
fade,pdhr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
fade,fadr,-,ecocyc_28_AND_regdb_13,no,no,emani_up
fade,arca,-,ecocyc_28_AND_regdb_13,yes,no,emani_up
fade,lldr,+,ecocyc_28_AND_regdb_13,no,no,emani_up
fima,rpod,+,ecocyc_28,no,yes,emani_up
fima,ihfa,+,ecocyc_28,yes,no,emani_up
fima,hns,+,ecocyc_28,yes,no,emani_up
fima,lrp,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
fima,fis,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
fima,ihfb,+,ecocyc_28,yes,no,emani_up
fima,qseb,+,ecocyc_28,no,no,emani_up
fima,h-ns,+,regdb_13,no,no,emani_up
hisg,cra,±,ecocyc_28,yes,no,emani_up
hisg,dksa,+,ecocyc_28,yes,no,emani_up
kbay,nac,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
kbay,rpod,+,ecocyc_28,no,yes,emani_up
kbay,agar,-,ecocyc_28_AND_regdb_13,no,no,emani_up
kbaz,rpod,+,ecocyc_28,no,yes,emani_up
kbaz,crp,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
kbaz,agar,-,ecocyc_28_AND_regdb_13,no,no,emani_up
lacz,rpod,+,ecocyc_28,no,yes,emani_up
lacz,crp,±,ecocyc_28_AND_regdb_13,yes,no,emani_up
lacz,mara,-,ecocyc_28_AND_regdb_13,yes,no,emani_up
lacz,laci,-,ecocyc_28_AND_regdb_13,no,no,emani_up
lacz,hns,-,ecocyc_28,yes,no,emani_up
lacz,h-ns,-,regdb_13,no,no,emani_up
lpxt,mica,-,ecocyc_28,no,no,emani_up
lpxt,rpod,+,ecocyc_28,no,yes,emani_up
malx,rpod,+,ecocyc_28,no,yes,emani_up
malx,crp,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
malx,mali,-,ecocyc_28_AND_regdb_13,no,no,emani_up
mara,acrr,-,ecocyc_28_AND_regdb_13,no,no,emani_up
mara,rob,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
mara,mara,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
mara,rpod,+,ecocyc_28,no,yes,emani_up
mara,soxs,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
mara,ryhb,-,ecocyc_28,yes,no,emani_up
mara,cra,-,ecocyc_28_AND_regdb_13,yes,no,emani_up
mara,fis,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
mara,marr,-,ecocyc_28_AND_regdb_13,no,no,emani_up
mara,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
mara,fnrs,-,ecocyc_28,no,no,emani_up
mara,crp,+,ecocyc_28,yes,no,emani_up
mgrb,phop,+,ecocyc_28_AND_regdb_13,no,no,emani_up
mgta,phop,+,ecocyc_28_AND_regdb_13,no,no,emani_up
mgta,rpod,+,ecocyc_28,no,yes,emani_up
mgta,zrar,+,ecocyc_28,no,no,emani_up
mgtl,phop,+,ecocyc_28_AND_regdb_13,no,no,emani_up
mgtl,rpod,+,ecocyc_28,no,yes,emani_up
norv,ihfa,±,ecocyc_28,yes,no,emani_up
norv,fnr,-,ecocyc_28,yes,no,emani_up
norv,narl,-,ecocyc_28,yes,no,emani_up
norv,ihfb,±,ecocyc_28,yes,no,emani_up
norv,rpon,+,ecocyc_28,no,yes,emani_up
norv,narp,-,ecocyc_28,yes,no,emani_up
norv,norr,+,ecocyc_28_AND_regdb_13,no,no,emani_up
norv,ihf,±,regdb_13,no,no,emani_up
norw,ihfa,±,ecocyc_28,yes,no,emani_up
norw,fnr,-,ecocyc_28,yes,no,emani_up
norw,narl,-,ecocyc_28,yes,no,emani_up
norw,ihfb,±,ecocyc_28,yes,no,emani_up
norw,rpon,+,ecocyc_28,no,yes,emani_up
norw,narp,-,ecocyc_28,yes,no,emani_up
norw,norr,+,ecocyc_28_AND_regdb_13,no,no,emani_up
norw,ihf,±,regdb_13,no,no,emani_up
nupg,cytr,-,ecocyc_28_AND_regdb_13,no,no,emani_up
nupg,rpod,+,ecocyc_28,no,yes,emani_up
nupg,crp,±,ecocyc_28_AND_regdb_13,yes,no,emani_up
nupg,deor,-,ecocyc_28,no,no,emani_up
pagp,phop,+,ecocyc_28,no,no,emani_up
pagp,slya,+,ecocyc_28,yes,no,emani_up
pagp,hns,-,ecocyc_28,yes,no,emani_up
pspa,ihfb,+,ecocyc_28,yes,no,emani_up
pspa,pspf,+,ecocyc_28_AND_regdb_13,no,no,emani_up
pspa,ihfa,+,ecocyc_28,yes,no,emani_up
pspa,rpon,+,ecocyc_28,no,yes,emani_up
pspa,ihf,+,regdb_13,no,no,emani_up
pspb,ihfb,+,ecocyc_28,yes,no,emani_up
pspb,pspf,+,ecocyc_28_AND_regdb_13,no,no,emani_up
pspb,ihfa,+,ecocyc_28,yes,no,emani_up
pspb,rpon,+,ecocyc_28,no,yes,emani_up
pspb,ihf,+,regdb_13,no,no,emani_up
pspc,ihfb,+,ecocyc_28,yes,no,emani_up
pspc,pspf,+,ecocyc_28_AND_regdb_13,no,no,emani_up
pspc,ihfa,+,ecocyc_28,yes,no,emani_up
pspc,rpon,+,ecocyc_28,no,yes,emani_up
pspc,ihf,+,regdb_13,no,no,emani_up
pspd,ihfb,+,ecocyc_28,yes,no,emani_up
pspd,pspf,+,ecocyc_28_AND_regdb_13,no,no,emani_up
pspd,ihfa,+,ecocyc_28,yes,no,emani_up
pspd,rpon,+,ecocyc_28,no,yes,emani_up
pspd,ihf,+,regdb_13,no,no,emani_up
pspe,ihfb,+,ecocyc_28,yes,no,emani_up
pspe,pspf,+,ecocyc_28_AND_regdb_13,no,no,emani_up
pspe,ihfa,+,ecocyc_28,yes,no,emani_up
pspe,rpon,+,ecocyc_28,no,yes,emani_up
pspe,ihf,+,regdb_13,no,no,emani_up
pspg,ihfa,+,ecocyc_28,yes,no,emani_up
pspg,lrp,+,ecocyc_28,yes,no,emani_up
pspg,pspf,+,ecocyc_28_AND_regdb_13,no,no,emani_up
pspg,rpon,+,ecocyc_28,no,yes,emani_up
pspg,ihfb,+,ecocyc_28,yes,no,emani_up
rsta,phop,+,ecocyc_28_AND_regdb_13,no,no,emani_up
rsta,arca,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
rstb,phop,+,ecocyc_28_AND_regdb_13,no,no,emani_up
ybjg,phop,+,ecocyc_28,no,no,emani_up
ycif,mcbr,+,ecocyc_28_AND_regdb_13,no,no,emani_up
ycif,rpos,+,ecocyc_28,no,yes,emani_up
ycif,hns,-,ecocyc_28,yes,no,emani_up
ycif,h-ns,-,regdb_13,no,no,emani_up
ycjm,ycjw,-,ecocyc_28_AND_regdb_13,no,no,emani_up
yebe,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
yebe,rpod,+,ecocyc_28,no,yes,emani_up
yjfn,cpxr,+,ecocyc_28,yes,no,emani_up
ylim,rpod,+,ecocyc_28,no,yes,emani_up
ylim,mica,-,regdb_13,no,no,emani_up
ytfk,lrp,-,ecocyc_28_AND_regdb_13,yes,no,emani_up
ytfk,rpos,+,ecocyc_28,no,yes,emani_up
ytfk,nac,-,ecocyc_28_AND_regdb_13,yes,no,emani_up
ytfk,phob,+,ecocyc_28,yes,no,emani_up
ytfk,crp,+,ecocyc_28_AND_regdb_13,yes,no,emani_up
