gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
clpa,rpod,+,ecocyc_28,no,yes,zhang_up
clpb,rpoh,+,ecocyc_28,no,yes,zhang_up
clpb,rpod,+,ecocyc_28,no,yes,zhang_up
clpp,lrp,+,ecocyc_28,yes,no,zhang_up
clpp,rpod,+,ecocyc_28,no,yes,zhang_up
clpp,rpoh,+,ecocyc_28,no,yes,zhang_up
clpx,rpoe,+,ecocyc_28,no,yes,zhang_up
clpx,rpoh,+,ecocyc_28,no,yes,zhang_up
clpx,rpod,+,ecocyc_28,no,yes,zhang_up
dnaj,rpoh,+,ecocyc_28,no,yes,zhang_up
dnak,rpoh,+,ecocyc_28,no,yes,zhang_up
fabb,rpod,+,ecocyc_28,no,yes,zhang_up
fabb,fabr,-,ecocyc_28_AND_regdb_13,no,no,zhang_up
fabb,fadr,+,ecocyc_28_AND_regdb_13,no,no,zhang_up
gapa,rpod,+,ecocyc_28,no,yes,zhang_up
gapa,rpos,+,ecocyc_28,no,yes,zhang_up
gapa,cra,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
gapa,rpoh,+,ecocyc_28,no,yes,zhang_up
gapa,crp,+,ecocyc_28,yes,no,zhang_up
glnd,rob,+,ecocyc_28,yes,no,zhang_up
glnd,mara,+,ecocyc_28,yes,no,zhang_up
glnd,soxs,+,ecocyc_28,yes,no,zhang_up
glnd,fnr,±,ecocyc_28,yes,no,zhang_up
glnd,fur,-,ecocyc_28,yes,no,zhang_up
grol,rpoh,+,ecocyc_28,no,yes,zhang_up
grol,rpod,+,ecocyc_28,no,yes,zhang_up
grol,lrp,±,ecocyc_28,yes,no,zhang_up
gros,nac,+,ecocyc_28_AND_regdb_13,yes,no,zhang_up
gros,rpoh,+,ecocyc_28,no,yes,zhang_up
gros,rpod,+,ecocyc_28,no,yes,zhang_up
gros,lrp,-,ecocyc_28,yes,no,zhang_up
grpe,rpoh,+,ecocyc_28,no,yes,zhang_up
grpe,crp,+,ecocyc_28,yes,no,zhang_up
hflc,crp,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
hflc,rpoh,+,ecocyc_28,no,yes,zhang_up
hflc,rpod,+,ecocyc_28,no,yes,zhang_up
hflk,crp,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
hflk,rpoh,+,ecocyc_28,no,yes,zhang_up
hflk,rpod,+,ecocyc_28,no,yes,zhang_up
hflx,crp,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
hflx,rpoh,+,ecocyc_28,no,yes,zhang_up
hflx,rpod,+,ecocyc_28,no,yes,zhang_up
hslo,rpoh,+,ecocyc_28,no,yes,zhang_up
hslu,rpoh,+,ecocyc_28,no,yes,zhang_up
hslv,rpoh,+,ecocyc_28,no,yes,zhang_up
htpg,ascg,-,ecocyc_28_AND_regdb_13,no,no,zhang_up
htpg,nac,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
htpg,crp,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
htpg,rpon,+,ecocyc_28,no,yes,zhang_up
htpg,rpoh,+,ecocyc_28,no,yes,zhang_up
ibpa,nac,+,ecocyc_28_AND_regdb_13,yes,no,zhang_up
ibpa,lrp,+,ecocyc_28,yes,no,zhang_up
ibpa,ibpa,-,ecocyc_28,no,no,zhang_up
ibpa,rpoh,+,ecocyc_28,no,yes,zhang_up
ibpa,small heat shock protein ibpa,-,regdb_13,no,no,zhang_up
iles,rpoh,+,ecocyc_28,no,yes,zhang_up
iles,rpod,+,ecocyc_28,no,yes,zhang_up
ldha,lrp,+,ecocyc_28,yes,no,zhang_up
ldha,rpoh,+,ecocyc_28,no,yes,zhang_up
lnt,rpoh,+,ecocyc_28,no,yes,zhang_up
lon,rpoe,+,ecocyc_28,no,yes,zhang_up
lon,rpoh,+,ecocyc_28,no,yes,zhang_up
lon,rpod,+,ecocyc_28,no,yes,zhang_up
lon,gadx,+,ecocyc_28,yes,no,zhang_up
mfd,rpod,+,ecocyc_28,no,yes,zhang_up
mglb,fur,+,ecocyc_28,yes,no,zhang_up
mglb,rpod,+,ecocyc_28,no,yes,zhang_up
mglb,flhc,-,ecocyc_28,yes,no,zhang_up
mglb,rpos,+,ecocyc_28,no,yes,zhang_up
mglb,galr,-,ecocyc_28,no,no,zhang_up
mglb,nac,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
mglb,gals,-,ecocyc_28,no,no,zhang_up
mglb,flhd,-,ecocyc_28,yes,no,zhang_up
mglb,crp,+,ecocyc_28_AND_regdb_13,yes,no,zhang_up
nfua,gntr,-,ecocyc_28,no,no,zhang_up
nfua,rpod,+,ecocyc_28,no,yes,zhang_up
nfua,iscr,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
nfua,rpoh,+,ecocyc_28,no,yes,zhang_up
nfua,crp,+,ecocyc_28,yes,no,zhang_up
nuol,fnr,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
nuol,rpod,+,ecocyc_28,no,yes,zhang_up
nuol,ryhb,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
nuol,fis,+,ecocyc_28_AND_regdb_13,yes,no,zhang_up
nuol,ihfb,-,ecocyc_28,yes,no,zhang_up
nuol,cra,+,ecocyc_28,yes,no,zhang_up
nuol,ihfa,-,ecocyc_28,yes,no,zhang_up
nuol,arca,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
nuol,narl,+,ecocyc_28,yes,no,zhang_up
nuol,ihf,-,regdb_13,no,no,zhang_up
nusb,rpoh,+,ecocyc_28,no,yes,zhang_up
nusb,rpod,+,ecocyc_28,no,yes,zhang_up
nusb,nac,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
nusb,lrp,-,ecocyc_28,yes,no,zhang_up
oppd,lrp,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
oppd,flia,+,ecocyc_28,no,yes,zhang_up
oppd,gcvb,-,ecocyc_28,yes,no,zhang_up
oppd,mode,-,ecocyc_28,yes,no,zhang_up
oppd,fur,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
oppd,arca,-,ecocyc_28,yes,no,zhang_up
pfkb,nac,+,ecocyc_28_AND_regdb_13,yes,no,zhang_up
pfkb,argr,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
pfkb,rpos,+,ecocyc_28,no,yes,zhang_up
pfkb,sutr,-,ecocyc_28,no,no,zhang_up
phop,mica,-,ecocyc_28_AND_regdb_13,no,no,zhang_up
phop,gcvb,-,ecocyc_28_AND_regdb_13,yes,no,zhang_up
