gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
acrr,acrr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
acrr,ptrr,-,ecocyc_28,no,no,schmidt_down
acrr,ompr,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
acrr,rpod,+,ecocyc_28,no,yes,schmidt_down
aega,crp,-,ecocyc_28,yes,no,schmidt_down
amtb,fnr,±,ecocyc_28,yes,no,schmidt_down
amtb,glng,+,ecocyc_28,yes,no,schmidt_down
amtb,rpon,+,ecocyc_28,no,yes,schmidt_down
amtb,fur,±,ecocyc_28,yes,no,schmidt_down
amtb,gadx,+,ecocyc_28,yes,no,schmidt_down
arna,basr,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
arof,tyrr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
arof,rpod,+,ecocyc_28,no,yes,schmidt_down
arof,nac,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
arof,soxr,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
bioc,rpod,+,ecocyc_28,no,yes,schmidt_down
bioc,bira,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
bord,phop,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
bord,lrp,+,ecocyc_28,yes,no,schmidt_down
bord,nac,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
caid,rpod,+,ecocyc_28,no,yes,schmidt_down
caid,arca,+,ecocyc_28,yes,no,schmidt_down
caid,fnr,+,ecocyc_28,yes,no,schmidt_down
caid,caif,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
caid,crp,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
caid,hns,-,ecocyc_28,yes,no,schmidt_down
cbl,rpod,+,ecocyc_28,no,yes,schmidt_down
cbl,cpxr,-,ecocyc_28,yes,no,schmidt_down
cbl,cysb,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
cbl,glng,+,ecocyc_28,yes,no,schmidt_down
cbl,lrp,+,ecocyc_28,yes,no,schmidt_down
cobu,rpod,+,ecocyc_28,no,yes,schmidt_down
cobu,nac,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
creb,nagc,-,ecocyc_28,yes,no,schmidt_down
creb,rpoh,+,ecocyc_28,no,yes,schmidt_down
creb,rpod,+,ecocyc_28,no,yes,schmidt_down
csgg,ihfa,+,ecocyc_28,yes,no,schmidt_down
csgg,gcvb,-,ecocyc_28,yes,no,schmidt_down
csgg,mqsa,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,ompr,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
csgg,rpos,+,ecocyc_28,no,yes,schmidt_down
csgg,rcsa,-,ecocyc_28,no,no,schmidt_down
csgg,bola,+,ecocyc_28,no,no,schmidt_down
csgg,cra,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
csgg,crp,+,ecocyc_28,yes,no,schmidt_down
csgg,fliz,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,rsta,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,btsr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,ihfb,+,ecocyc_28,yes,no,schmidt_down
csgg,rybb,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,rydc,-,ecocyc_28,no,no,schmidt_down
csgg,hns,-,ecocyc_28,yes,no,schmidt_down
csgg,omra,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
csgg,mlra,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,rpra,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,rpod,+,ecocyc_28,no,yes,schmidt_down
csgg,basr,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,rcda,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,csgd,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
csgg,rcsb,-,ecocyc_28,yes,no,schmidt_down
csgg,omrb,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,mcas,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
csgg,h-ns,-,regdb_13,no,no,schmidt_down
csgg,ihf,+,regdb_13,no,no,schmidt_down
cusf,hprr,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
cusf,rpod,+,ecocyc_28,no,yes,schmidt_down
cusf,ycit,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
cusf,phob,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
cusf,cusr,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
cusr,hprr,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
cusr,phob,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
cusr,rpod,+,ecocyc_28,no,yes,schmidt_down
cusr,cusr,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
dam,rpod,+,ecocyc_28,no,yes,schmidt_down
dini,nagc,-,ecocyc_28,yes,no,schmidt_down
dini,lexa,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
dini,rpod,+,ecocyc_28,no,yes,schmidt_down
dpia,fnr,-,ecocyc_28,yes,no,schmidt_down
dpia,arca,+,ecocyc_28,yes,no,schmidt_down
dpia,dpia,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
dpia,crp,-,ecocyc_28,yes,no,schmidt_down
dpia,narl,-,ecocyc_28,yes,no,schmidt_down
dpia,dcur,+,ecocyc_28_AND_regdb_13,no,no,schmidt_down
dpia,chix,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
dppb,fur,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
dppb,fnr,-,ecocyc_28,yes,no,schmidt_down
dppb,rpod,+,ecocyc_28,no,yes,schmidt_down
dppb,ihfa,+,ecocyc_28,yes,no,schmidt_down
dppb,gcvb,-,ecocyc_28,yes,no,schmidt_down
dppb,spf,+,ecocyc_28,yes,no,schmidt_down
dppb,ihfb,+,ecocyc_28,yes,no,schmidt_down
epmb,cpxr,+,ecocyc_28,yes,no,schmidt_down
feoc,rpod,+,ecocyc_28,no,yes,schmidt_down
feoc,ompr,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
feoc,fnr,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
feoc,fur,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
feoc,nagc,NA,ecocyc_28,yes,no,schmidt_down
fhud,rpod,+,ecocyc_28,no,yes,schmidt_down
fhud,fur,-,ecocyc_28,yes,no,schmidt_down
fimh,rpod,+,ecocyc_28,no,yes,schmidt_down
fimh,ihfa,+,ecocyc_28,yes,no,schmidt_down
fimh,hns,+,ecocyc_28,yes,no,schmidt_down
fimh,lrp,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
fimh,fis,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
fimh,bola,+,ecocyc_28,no,no,schmidt_down
fimh,ihfb,+,ecocyc_28,yes,no,schmidt_down
fimh,qseb,+,ecocyc_28,no,no,schmidt_down
fimh,h-ns,+,regdb_13,no,no,schmidt_down
flge,flhd,+,ecocyc_28,yes,no,schmidt_down
flge,rpod,+,ecocyc_28,no,yes,schmidt_down
flge,flhc,+,ecocyc_28,yes,no,schmidt_down
flge,flhdc,+,regdb_13,no,no,schmidt_down
flxa,fis,+,ecocyc_28,yes,no,schmidt_down
flxa,flia,+,ecocyc_28,no,yes,schmidt_down
frlb,frlr,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
frlb,rpod,+,ecocyc_28,no,yes,schmidt_down
frlb,crp,+,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
ftsl,mraz,-,ecocyc_28_AND_regdb_13,no,no,schmidt_down
ftsl,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,schmidt_down
ftsl,lexa,-,ecocyc_28,yes,no,schmidt_down
