regulator,num_degs_regulated,total_targets,enrichment_score,p_value,up_appearance_count,down_appearance_count,is_global_regulator,is_sigma_factor,is_nucleoid_regulator,a,K,fdr,M,N,topN_x,topN_y,topN
crp,38,264,0.14393939393939395,1.1269158043038119e-11,32,6,yes,no,no,38,264,3.1779025681367496e-09,68,1337,False,True,False
arca,25,143,0.17482517482517482,3.732118501459031e-09,22,3,yes,no,no,25,143,5.262287087057234e-07,68,1337,False,True,False
ihfb,14,91,0.15384615384615385,9.976861029484612e-05,9,5,yes,no,yes,14,91,0.007033687025786652,68,1337,False,,False
ihfa,14,91,0.15384615384615385,9.976861029484612e-05,9,5,yes,no,yes,14,91,0.007033687025786652,68,1337,False,,False
ihf,11,61,0.18032786885245902,0.00014364838368203327,6,5,no,no,yes,11,61,0.008101768839666675,68,1337,False,,False
dcur,3,5,0.6,0.001170587759049387,3,0,no,no,no,3,5,0.041263218506490895,68,1337,False,True,False
arac,3,5,0.6,0.001170587759049387,3,0,no,no,no,3,5,0.041263218506490895,68,1337,False,True,False
glcc,3,5,0.6,0.001170587759049387,3,0,no,no,no,3,5,0.041263218506490895,68,1337,False,True,False
torr,3,6,0.5,0.0022559527437068403,3,0,no,no,no,3,6,0.06538863525413985,68,1337,False,True,False
adiy,2,2,1.0,0.0025506205240976537,0,2,no,no,no,2,2,0.06538863525413985,68,1337,False,True,False
hdfr,2,2,1.0,0.0025506205240976537,0,2,no,no,no,2,2,0.06538863525413985,68,1337,False,True,False
dsra,3,8,0.375,0.005866498399517567,3,0,no,no,no,3,8,0.13786271238866282,68,1337,False,True,False
gadw,2,3,0.6666666666666666,0.00739966538564061,2,0,no,no,no,2,3,0.1490504027679037,68,1337,False,True,False
pepa,2,3,0.6666666666666666,0.00739966538564061,0,2,no,no,no,2,3,0.1490504027679037,68,1337,False,True,False
gade,4,17,0.23529411764705882,0.008819073317503855,2,2,yes,no,no,4,17,0.16579857836907247,68,1337,False,True,False
rbsr,3,10,0.3,0.011678794439581525,3,0,no,no,no,3,10,0.2058387519976244,68,1337,False,True,False
iclr,2,4,0.5,0.014313371027810549,2,0,no,no,no,2,4,0.23743356646132793,68,1337,False,True,False
fadr,4,22,0.18181818181818182,0.022363937860441403,4,0,no,no,no,4,22,0.3098673278271273,68,1337,False,True,False
rutr,2,5,0.4,0.02307522654031799,0,2,no,no,no,2,5,0.3098673278271273,68,1337,False,True,False
fliz,2,5,0.4,0.02307522654031799,2,0,no,no,no,2,5,0.3098673278271273,68,1337,False,True,False
rpod,50,818,0.061124694376528114,0.02005855813586093,36,14,no,yes,no,50,818,0.3098673278271273,68,1337,False,,False
rpos,14,162,0.08641975308641975,0.028219404051628108,11,3,no,yes,no,14,162,0.3617214519345057,68,1337,False,,False
gadx,3,14,0.21428571428571427,0.03060479147235179,3,0,yes,no,no,3,14,0.3752413563131828,68,1337,False,True,False
spf,3,15,0.2,0.0368898931145963,3,0,yes,no,no,3,15,0.4334562440965065,68,1337,False,True,False
lrp,16,202,0.07920792079207921,0.039968529873699296,11,5,yes,no,no,16,202,0.45084501697532803,68,1337,False,True,False
yiau,1,1,1.0,0.050860134629768135,0,1,no,no,no,1,1,0.5516368448305621,68,1337,False,True,False
galr,2,8,0.25,0.05852051560831091,2,0,no,no,no,2,8,0.5690615655704716,68,1337,False,True,False
gals,2,8,0.25,0.05852051560831091,2,0,no,no,no,2,8,0.5690615655704716,68,1337,False,True,False
fis,9,98,0.09183673469387756,0.0548293723255351,5,4,yes,no,yes,9,98,0.5690615655704716,68,1337,False,,False
rob,4,30,0.13333333333333333,0.06177477444798803,4,0,yes,no,no,4,30,0.5806828798110875,68,1337,False,True,False
mlc,2,9,0.2222222222222222,0.07281741418612579,0,2,no,no,no,2,9,0.6624035742092733,68,1337,False,True,False
fur,11,138,0.07971014492753623,0.08269890763667204,8,3,yes,no,no,11,138,0.7242937654886675,68,1337,False,False,False
rpon,4,34,0.11764705882352941,0.08989461628405448,3,1,no,yes,no,4,34,0.7242937654886675,68,1337,False,,False
rybb,2,10,0.2,0.08810206912276185,2,0,no,no,no,2,10,0.7242937654886675,68,1337,False,False,False
rcsb,2,10,0.2,0.08810206912276185,2,0,yes,no,no,2,10,0.7242937654886675,68,1337,False,False,False
pdhr,4,35,0.11428571428571428,0.0977518756813676,4,0,yes,no,no,4,35,0.7359431827208867,68,1337,False,False,False
cecr,1,2,0.5,0.09916964873543863,0,1,no,no,no,1,2,0.7359431827208867,68,1337,False,False,False
mqsa,1,2,0.5,0.09916964873543863,1,0,no,no,no,1,2,0.7359431827208867,68,1337,False,False,False
mica,2,11,0.18181818181818182,0.1042403508569141,1,1,no,no,no,2,11,0.7406531209081441,68,1337,False,False,False
flhd,3,23,0.13043478260869565,0.1076836097774252,3,0,yes,no,no,3,23,0.7406531209081441,68,1337,False,False,False
flhc,3,23,0.13043478260869565,0.1076836097774252,3,0,yes,no,no,3,23,0.7406531209081441,68,1337,False,False,False
ntrc,2,12,0.16666666666666666,0.12110887158356201,1,1,no,no,no,2,12,0.8131595663467736,68,1337,False,False,False
fucr,1,3,0.3333333333333333,0.14505464041033767,1,0,no,no,no,1,3,0.8892480129503308,68,1337,False,False,False
hipb,1,3,0.3333333333333333,0.14505464041033767,1,0,no,no,no,1,3,0.8892480129503308,68,1337,False,False,False
pspf,1,3,0.3333333333333333,0.14505464041033767,1,0,no,no,no,1,3,0.8892480129503308,68,1337,False,False,False
zrar,2,13,0.15384615384615385,0.1385942651436441,1,1,no,no,no,2,13,0.8892480129503308,68,1337,False,False,False
srlr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
dinj,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
ydeo,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,68,1337,False,,False
dinjyafq,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
evga,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
yefm,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
deor,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,68,1337,False,,False
lsrr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,68,1337,False,,False
dgor,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
dsdc,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
uxur,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,68,1337,False,,False
exur,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,68,1337,False,,False
feci,0,1,0.0,1.0,0,0,no,yes,no,0,1,1.0,68,1337,False,,False
frlr,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
cspa,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
gcva,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,68,1337,False,,False
gutm,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
carbonstorageregulatorcsra,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,68,1337,False,,False
idnr,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
yefmb,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
ilvy,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
omrb,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,68,1337,False,,False
hupa,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,68,1337,False,,False
hu,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,68,1337,False,,False
baer,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,68,1337,False,,False
bira,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,68,1337,False,,False
c0293,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
cdar,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
chbr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
comr,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
cysb,0,18,0.0,1.0,0,0,yes,no,no,0,18,1.0,68,1337,False,,False
ydip,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
kdgr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
gntr,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,68,1337,False,,False
yjjq,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
yafq,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
rsex,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,68,1337,False,,False
micc,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
malh,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
rsta,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
glrr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,68,1337,False,,False
narp,0,3,0.0,1.0,0,0,yes,no,no,0,3,1.0,68,1337,False,,False
metr,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,68,1337,False,,False
nikr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
iscr,0,10,0.0,1.0,0,0,yes,no,no,0,10,1.0,68,1337,False,,False
prpr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
malt,0,8,0.0,1.0,0,0,no,no,no,0,8,1.0,68,1337,False,,False
yidz,1,4,0.25,0.18863506353784668,1,0,no,no,no,1,4,1.0,68,1337,False,False,False
omra,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,68,1337,False,,False
selb,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
envy,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
mhpr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
rpsf,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,68,1337,False,,False
nanr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,68,1337,False,,False
relbe,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
rplt,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
relb,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
rele,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
rply,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
yfec,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,68,1337,False,,False
sgrr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
thrs,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
threoninemdashtrnaligase,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
fabr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,68,1337,False,,False
fhla,0,2,0.0,1.0,0,0,yes,no,no,0,2,1.0,68,1337,False,,False
uhpu,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,68,1337,False,,False
rpsd,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,68,1337,False,,False
