gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,is_nucleoid_regulator,deg_source
acre,fnr,+,ecocyc_28,yes,no,no,bie_up
acre,zrar,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
acre,hns,-,ecocyc_28,yes,no,no,bie_up
acre,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
agab,agar,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up-emani_up
agac,agar,-,ecocyc_28_AND_regdb_13,no,no,no,bie_up
agas,agar,-,ecocyc_28_AND_regdb_13,no,no,no,emani_up
alax,fis,+,ecocyc_28,yes,no,yes,bie_up
amph,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
argw,fis,+,ecocyc_28,yes,no,yes,bie_up
asnv,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
asta,argr,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
asta,ntrc,+,regdb_13,no,no,no,emani_up
astc,argr,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
astc,rob,-,ecocyc_28,yes,no,no,emani_up
astc,lrp,±,ecocyc_28,yes,no,no,emani_up
astc,cpxr,-,ecocyc_28,yes,no,no,emani_up
astc,ntrc,+,regdb_13,no,no,no,emani_up
astd,argr,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
astd,ntrc,+,regdb_13,no,no,no,emani_up
bglh,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,bie_up
bsma,ycit,+,ecocyc_28,no,no,no,emani_up
cdd,cytr,-,ecocyc_28_AND_regdb_13,no,no,no,emani_up
cdd,nsrr,-,ecocyc_28,yes,no,no,emani_up
cdd,crp,±,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
citc,crp,-,ecocyc_28,yes,no,no,bie_up
citc,fnr,-,ecocyc_28,yes,no,no,bie_up
citc,narl,-,ecocyc_28,yes,no,no,bie_up
citc,dpia,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
citc,arca,-,ecocyc_28,yes,no,no,bie_up
citd,crp,-,ecocyc_28,yes,no,no,bie_up
citd,fnr,-,ecocyc_28,yes,no,no,bie_up
citd,narl,-,ecocyc_28,yes,no,no,bie_up
citd,dpia,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
citd,arca,-,ecocyc_28,yes,no,no,bie_up
cite,crp,-,ecocyc_28,yes,no,no,bie_up
cite,fnr,-,ecocyc_28,yes,no,no,bie_up
cite,narl,-,ecocyc_28,yes,no,no,bie_up
cite,dpia,+,ecocyc_28_AND_regdb_13,no,no,no,bie_up
cite,arca,-,ecocyc_28,yes,no,no,bie_up
cpxp,zrar,+,ecocyc_28_AND_regdb_13,no,no,no,emani_up
cpxp,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
csga,btsr,-,ecocyc_28_AND_regdb_13,no,no,no,emani_up
csga,bola,+,ecocyc_28,no,no,no,emani_up
csga,csgd,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
csga,cpxr,-,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
csga,fliz,-,ecocyc_28,no,no,no,emani_up
dgcz,cysb,+,ecocyc_28,yes,no,no,emani_up
dgcz,cpxr,+,ecocyc_28_AND_regdb_13,yes,no,no,emani_up
